,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
650,HR1594,,75.71,66.8228,6.19,STAR,0.48,,,,-0.04,F
651,HR1595,,74.4367,-14.2314,6.15,STAR B1V,-0.21,,,,,B
652,HR1596,,74.545,-2.2125,6.35,STAR A2V,0.1,,,,0.11,A
653,HR1597,,73.7208,-58.5472,6.12,STAR F3V,0.44,,,,-0.06,F
654,HR1598,,73.3771,-66.6756,6.41,STAR M0III,1.63,,,,1.96,M
655,HR1599,5    Aur,75.0762,39.3947,5.95,STAR F5V,0.41,,,,-0.03,F
656,HR16,,2.0725,-8.8239,5.99,STAR,1.04,,,,0.83,K
657,HR160,,9.1558,-65.1247,6.42,STAR K2III,1.26,,,,1.38,K
658,HR1600,,74.7475,14.5428,6.09,STAR B7V,0.04,,0.01,,-0.27,B
659,HR1601,10Pi 6Ori,74.6371,1.7142,4.47,STAR K2II,1.4,,0.7,,1.55,K
660,HR1602,6    Aur,75.0967,39.655,6.58,STAR K4I,,,,,,K
661,HR1603,10Bet Cam,75.8546,60.4422,4.03,STAR G1I,0.92,,0.45,,0.63,G
662,HR1605,7Eps Aur,75.4921,43.8233,2.99,STAR F0I,0.54,,0.45,v,0.33,A
663,HR1606,,73.2729,-72.4075,6.28,STAR F6V,0.52,,,,0.01,F
664,HR1608,63    Eri,74.96,-10.2633,5.38,STAR G4V,0.8,,,,0.35,G
665,HR1609,,75.1358,3.6153,7.03,STAR B9V,,,,,,B
666,HR161,,9.3771,3.1353,6.39,STAR K4III,1.33,E,0.54,,1.52,K
667,HR1610,,75.1413,3.6161,6.66,STAR B9V,-0.07,,,,-0.28,B
668,HR1611,64    Eri,74.9825,-12.5375,4.79,STAR F0IV,0.26,,0.14,,0.16,F
669,HR1612,8Zet Aur,75.6196,41.0758,3.75,STAR K4II,1.22,,0.87,,0.38,K
670,HR1613,,75.1658,-2.0656,6.32,STAR A8IV,0.28,,,,0.04,A
671,HR1614,,75.2042,-5.7533,6.22,STAR K3V,1.06,,0.49,,1.02,K
672,HR1615,,75.8275,41.4417,6.14,STAR A2III,0.16,,,,,A
673,HR1617,65Psi Eri,75.3596,-7.1739,4.81,STAR B3V,-0.19,,-0.19,,-0.74,B
674,HR1618,,75.4596,0.7222,5.92,STAR K0,1.27,,,,1.39,K
675,HR1619,,75.5,1.6089,6.24,STAR B8V,-0.04,,,,-0.41,B
676,HR162,,9.3254,-54.3942,6.41,STAR K0II,1.0,,,,,K
