,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
2339,HR3139,,119.3021,-63.2969,6.14,STAR B8V,-0.1,,,,,B
2340,HR314,77    Psc,16.4642,4.9094,7.25,STAR F6V,0.49,,,,-0.04,F
2341,HR3140,,119.8683,-39.2972,5.24,STAR F5III,0.39,,,,0.02,F
2342,HR3141,28    Mon,120.3054,-1.3925,4.68,STAR K4III,1.49,,0.83,,1.78,K
2343,HR3142,,119.8012,-49.9767,6.32,STAR B2IV,,,,,,B
2344,HR3143,,119.8058,-49.9736,6.34,STAR B2IV,,,,,,B
2345,HR3144,,120.4613,8.9139,6.22,STAR G0IV,0.57,,,,0.13,G
2346,HR3145,,120.5663,2.3344,4.39,STAR K2III,1.25,,0.67,,1.28,K
2347,HR3146,,120.0817,-45.4569,6.61,STAR K1I,1.27,,,,,K
2348,HR3147,,119.7104,-60.8244,5.81,STAR B2IV,-0.09,,-0.06,v,-0.8,B
2349,HR3148,,120.0621,-48.9814,6.02,STAR A2V,0.04,,,,0.08,A
2350,HR3149,Chi Gem,120.8796,27.7942,4.94,STAR K1III,1.12,,,,1.09,K
2351,HR315,27    Cet,16.4033,-9.9792,6.12,STAR K0III,1.01,,0.53,,0.86,K
2352,HR3150,,120.6083,-6.3372,6.33,STAR G0III,0.62,,,,0.13,F
2353,HR3151,,120.1204,-48.8714,6.12,STAR A0,-0.11,,,,,B
2354,HR3152,,119.9175,-60.2075,6.33,STAR B5III,-0.06,,,,-0.4,B
2355,HR3153,,119.9067,-60.5869,5.17,STAR M1II,1.74,,1.13,,1.91,M
2356,HR3154,,120.4058,-37.2836,5.95,STAR A3IV,0.14,,,,0.14,A
2357,HR3155,,120.5258,-37.0506,6.34,STAR M1III,1.62,,,,1.88,M
2358,HR3156,,120.2079,-54.1514,5.87,STAR B5V,-0.14,,,,-0.52,B
2359,HR3157,,120.3454,-54.515,6.1,STAR B2IV,-0.04,,,,-0.65,B
2360,HR3158,,121.1883,18.8422,6.15,STAR B9V,-0.05,,,,-0.12,B
2361,HR3159,,120.0833,-63.5675,4.82,STAR B3V,-0.17,,-0.2,,-0.62,B
2362,HR316,,16.7508,56.935,6.43,STAR K2III,1.18,E,0.42,,1.26,K
2363,HR3160,,120.7671,-32.4639,5.82,STAR K2III,1.22,,,,1.28,K
2364,HR3161,,120.3812,-55.455,6.28,STAR B4V,-0.15,,,,-0.62,B
2365,HR3162,,120.6867,-41.31,5.52,STAR B9,-0.15,,,,-0.47,B
2366,HR3163,8    Cnc,121.2688,13.1181,5.12,STAR A1V,0.01,,,,-0.01,A
2367,HR3164,,121.4042,27.5297,6.21,STAR A0V,0.01,,,,-0.09,B
2368,HR3165,Zet Pup,120.8962,-40.0033,2.25,STAR O5,-0.26,,-0.22,e,-1.11,O
2369,HR3166,,120.8729,-42.9486,6.29,STAR G8II,1.01,,,,0.76,G
2370,HR3167,28    Lyn,121.7913,43.2603,6.26,STAR A1V,-0.02,,,,-0.13,A
2371,HR3168,14    Pup,121.1729,-19.7281,6.13,STAR B3III,-0.16,,,,-0.72,B
2372,HR3169,9Mu 1Cnc,121.5767,22.6356,5.99,STAR M3III,1.66,E,1.01,,1.91,M
2373,HR317,28    Cet,16.5212,-9.8394,5.58,STAR A1V,0.01,,,,,A
2374,HR3170,,121.0675,-32.675,5.31,STAR M1I,1.91,,,,1.95,M
2375,HR3171,,119.8171,-73.2447,6.34,STAR A3III,0.14,,,,0.13,A
2376,HR3172,,121.4567,-0.5736,6.41,STAR K0,1.05,,,,1.01,K
2377,HR3173,27    Lyn,122.1142,51.5067,4.84,STAR A2V,0.05,,0.0,,0.0,A
2378,HR3174,,121.6146,-9.245,6.23,STAR B9V,-0.07,,,,-0.12,B
2379,HR3175,,122.5158,58.2481,5.93,STAR,1.39,,,,1.5,K
2380,HR3176,10Mu 2Cnc,121.9408,21.5817,5.3,STAR G1IV,0.63,,,,0.21,G
2381,HR3177,,121.4371,-33.5692,6.14,STAR G1I,1.11,,,,0.88,G
2382,HR3178,,121.1767,-50.5906,5.95,STAR G5II,1.21,,,,1.03,G
2383,HR3179,,121.335,-46.9789,6.19,STAR B3V,-0.15,,,,-0.67,B
2384,HR318,,16.7896,53.4983,6.38,STAR K2III,,,,,,K
2385,HR3180,,121.2667,-53.1081,5.53,STAR K3III,1.34,,,,1.6,K
2386,HR3181,,122.3463,42.4306,6.27,STAR,1.27,,,,,K
2387,HR3182,,123.2033,68.4742,5.32,STAR G7II,1.04,,0.48,,0.81,G
2388,HR3183,,121.825,-20.5547,5.38,STAR A5II,0.1,,0.09,,0.16,A
2389,HR3184,12    Cnc,122.1767,13.6408,6.27,STAR F3V,0.43,,,,0.01,F
2390,HR3185,15Rho Pup,121.8858,-24.3042,2.81,STAR F6II,0.43,,0.21,e,0.19,F
2391,HR3186,,121.1787,-62.8361,6.3,STAR B2V,-0.1,,,e,,B
2392,HR3187,,121.6683,-45.2664,5.05,STAR K3III,1.5,,,,1.73,K
2393,HR3188,29Zet Mon,122.1483,-2.9839,4.34,STAR G2I,0.97,,0.46,,0.69,G
2394,HR3189,,122.2371,-11.3397,6.32,STAR A0V,0.01,,,,-0.09,B
2395,HR319,75    Psc,16.64,12.9561,6.12,STAR G8III,0.96,,,,,G
2396,HR3190,,122.1813,-20.3631,6.36,STAR A7IV,0.16,,,,,A
2397,HR3191,14Psi Cnc,122.6133,25.5072,5.73,STAR G7V,0.81,E,0.28,,0.43,G
2398,HR3192,16    Pup,122.2567,-19.245,4.4,STAR B5IV,-0.15,,-0.14,,-0.6,B
2399,HR3193,,122.84,38.7314,6.58,STAR G0,0.59,,,,0.09,G
2400,HR3194,,122.3688,-16.2489,5.68,STAR B2V,-0.17,,,,-0.74,B
2401,HR3195,,122.1567,-37.6814,6.37,STAR B4V,-0.04,,0.01,e,-0.56,B
2402,HR3196,,122.2779,-30.3225,6.65,STAR K5III,1.4,,,,1.6,K
2403,HR3197,,126.1371,82.4308,6.32,STAR A2V,0.01,,,,0.01,A
2404,HR3198,,122.745,14.6294,6.23,STAR A1V,0.02,,,,0.04,A
2405,HR3199,,122.2925,-35.455,6.2,STAR G8III,0.89,,,,,G
2406,HR32,,2.6608,-73.2244,6.64,STAR F2V,0.37,,,,0.06,A
2407,HR320,,16.5321,-23.9925,6.14,STAR G8III,1.09,,,,1.0,K
2408,HR3200,,123.4592,56.4522,5.85,STAR G9III,1.01,,,,0.79,G
2409,HR3201,,122.8192,9.8211,6.07,STAR B6III,-0.1,,,,-0.42,B
2410,HR3202,18    Pup,122.6658,-13.7992,5.54,STAR F6V,0.49,,,,0.0,F
2411,HR3203,,122.29,-48.6844,5.7,STAR B8I,-0.12,,,,-0.42,B
2412,HR3204,,122.3996,-44.1228,5.21,STAR B2IV,-0.19,,,,,B
2413,HR3205,,122.4488,-42.6406,6.26,STAR B7V,-0.04,,,,-0.32,B
2414,HR3206,Gam1Vel,122.3721,-47.3458,4.27,STAR B1IV,-0.23,,-0.18,,-0.92,B
2415,HR321,30Mu  Cas,17.0683,54.9203,5.17,STAR G5V,0.69,,0.42,,0.09,G
2416,HR3210,16Zet2Cnc,123.0554,17.6478,6.2,STAR G5V,0.6,,,,0.13,G
2417,HR3211,19    Pup,122.8179,-12.9269,4.72,STAR G9III,0.95,,0.48,,0.74,G
2418,HR3212,,122.8875,-7.7725,5.36,STAR G6III,0.89,,0.45,,0.6,G
2419,HR3213,,122.43,-47.9375,5.23,STAR B1IV,-0.21,,,,-0.89,B
2420,HR3214,,123.0921,14.0039,6.54,STAR A7III,,,,,,A
2421,HR3215,15    Cnc,123.2871,29.6567,5.64,STAR B9,-0.07,,,,-0.12,B
2422,HR3216,,124.8842,75.7569,5.54,STAR G8III,0.9,,,,,G
2423,HR3217,,122.1021,-63.8011,6.28,STAR B6V,-0.06,,,,,B
2424,HR3218,,122.39,-56.0856,5.66,STAR A3,0.21,,,,,A
2425,HR3219,,122.7567,-37.2922,6.44,STAR O9II,-0.01,,,,-0.87,O
2426,HR322,Bet Phe,16.5208,-46.7186,3.31,STAR G8III,0.89,,0.5,v,0.57,G
2427,HR3220,,122.2529,-61.3025,4.76,STAR F5V,0.43,,0.25,,-0.03,F
2428,HR3221,,123.9604,60.3806,6.45,STAR A7V,0.2,,,,0.11,A
2429,HR3222,,123.2492,16.5142,6.01,STAR G8III,0.89,,,,,G
2430,HR3223,Eps Vol,121.9825,-68.6172,4.35,STAR B6IV,-0.11,,-0.09,,-0.46,B
2431,HR3224,,123.4238,23.1378,6.56,STAR A4IV,0.11,,,,0.12,A
2432,HR3225,,122.8396,-39.6186,4.45,STAR K3I,1.62,,0.9,,1.86,K
2433,HR3226,,122.8579,-42.9872,4.75,STAR A5I,0.18,,0.22,,0.08,A
2434,HR3227,,122.7962,-48.4619,5.82,STAR B3V,-0.15,,,,-0.63,B
2435,HR3228,,123.5462,17.6758,6.47,STAR A0V,0.3,,0.13,,0.14,F
2436,HR3229,20    Pup,123.3333,-15.7883,4.99,STAR G5II,1.07,E,0.38,,0.78,G
2437,HR323,,16.6104,-35.6608,6.61,STAR A1V,0.14,,0.07,,0.16,A
2438,HR3230,,123.1917,-29.9108,6.52,STAR A1V,0.06,,,,0.07,A
2439,HR3231,,123.5875,13.0483,6.38,STAR G8III,,,,,,G
2440,HR3232,,123.0,-46.6442,5.76,STAR F7I,0.59,,,,0.39,F
2441,HR3233,,123.2146,-37.9244,6.43,STAR A3V,0.1,,,,0.08,A
2442,HR3234,,123.1288,-46.2642,6.03,STAR B5V,-0.11,,,,-0.57,B
2443,HR3235,29    Lyn,124.46,59.5711,5.64,STAR A7IV,0.16,,,,0.13,A
2444,HR3236,,125.1679,72.4072,5.98,STAR M0III,1.54,,,,1.46,M
2445,HR3237,,123.3733,-35.8997,4.78,STAR B1III,-0.11,,-0.08,v,-0.98,B
2446,HR3238,,123.4212,-33.5692,6.37,STAR K2III,1.14,,,,,K
2447,HR3239,,123.5458,-32.1408,6.06,STAR B1V,-0.16,,,,-0.74,B
2448,HR324,41    And,17.0037,43.9419,5.03,STAR A3,0.11,,0.04,,0.14,A
2449,HR3240,,123.4933,-36.3225,5.08,STAR B1IV,-0.19,,,,-0.86,B
2450,HR3241,,123.495,-36.3411,6.11,STAR B2IV,-0.18,,,,-0.71,B
2451,HR3242,,123.555,-35.4906,5.78,STAR K1III,1.02,,,,0.87,K
2452,HR3243,,123.5121,-40.3481,4.44,STAR K1II,1.17,,0.64,,1.09,K
2453,HR3244,,123.4008,-46.9919,5.13,STAR B2IV,-0.14,,,,-0.63,B
2454,HR3245,,124.8221,62.5072,5.71,STAR G8III,0.89,,,,,G
2455,HR3246,,124.5658,54.1436,6.27,STAR K5,1.54,,,,1.9,K
2456,HR3247,,123.3921,-50.1961,5.51,STAR M1III,1.61,,0.47,,2.0,M
2457,HR3248,,124.1413,11.7264,7.13,STAR M7III,1.56,,2.98,,0.4,M
2458,HR3249,17Bet Cnc,124.1288,9.1856,3.52,STAR K4III,1.48,,0.78,,1.77,K
2459,HR325,,16.8046,-23.9964,6.37,STAR A7V,0.23,,,,0.09,A
2460,HR3250,,123.5996,-45.8344,5.83,STAR B2IV,-0.2,,,,-0.79,B
2461,HR3251,,123.9688,-30.9258,6.21,STAR G5III,0.78,,,,0.35,G
2462,HR3252,,124.3821,8.8661,6.29,STAR G8III,0.98,,,,0.75,G
2463,HR3253,,123.9954,-35.9028,6.16,STAR K2III,1.55,,,,1.7,K
2464,HR3254,30    Lyn,125.1087,57.7433,5.89,STAR F4V,0.39,,,,-0.1,F
2465,HR3255,,124.2258,-21.3203,6.6,STAR A0,0.02,,,,,A
2466,HR3256,,123.8471,-50.4494,6.44,STAR K3III,1.49,,,,1.87,K
2467,HR3257,21    Pup,124.3463,-16.285,6.16,STAR A2V,0.01,,,,0.08,A
2468,HR3259,,124.5996,-12.6319,5.98,STAR G7V,0.76,,0.38,,0.33,G
2469,HR326,,17.1388,58.2636,5.79,STAR B8V,-0.01,,,,-0.27,B
2470,HR3260,,123.8163,-62.9158,5.16,STAR A2V,0.09,,,,0.1,A
2471,HR3261,,124.4929,-30.0033,6.45,STAR K0III,1.04,,,,,K
2472,HR3262,18Chi Cnc,125.0163,27.2178,5.14,STAR F6V,0.47,,,,-0.06,F
2473,HR3263,,125.6837,60.6311,6.41,STAR K0III,0.97,,,,,K
2474,HR3264,,125.0875,20.7478,5.83,STAR K1III,1.13,,,,1.06,K
2475,HR3265,,124.8129,-10.1658,6.32,STAR F3III,0.33,,,,0.17,F
2476,HR3266,,124.5725,-35.4517,5.58,STAR K2III,1.24,,,,,K
2477,HR3267,,124.5525,-37.3742,6.7,STAR A0IV,0.23,,,,-0.03,A
2478,HR3268,19Lam Cnc,125.1338,24.0222,5.98,STAR B9V,-0.03,,,,-0.12,B
2479,HR3269,,124.9579,3.9478,6.05,STAR G8III,0.97,,,,0.64,G
2480,HR327,78    Psc,17.0054,32.0122,6.25,STAR F5IV,0.4,,,,-0.01,F
2481,HR3270,,124.6387,-36.6594,4.45,STAR A7III,0.22,,0.13,,0.11,A
2482,HR3271,,125.0546,-0.9094,6.18,STAR F9V,0.6,,,,0.15,G
2483,HR3272,,125.0713,-5.3292,6.13,STAR K2III,1.33,,,,1.52,K
2484,HR3273,,124.8725,-34.5903,6.43,STAR B9,-0.08,,,,-0.37,B
2485,HR3274,,124.4825,-59.1669,6.42,STAR F5V,0.39,,,,0.0,F
2486,HR3275,31    Lyn,125.7087,43.1881,4.25,STAR K4III,1.55,,0.88,e,1.9,K
2487,HR3276,,125.1142,-22.9247,6.13,STAR K0,1.04,,,,,G
2488,HR3277,,125.9521,53.2197,5.51,STAR A3V,0.11,,,,0.08,A
2489,HR3278,,125.3342,-1.6022,6.5,STAR A2V,0.02,,,,-0.02,A
2490,HR3279,,125.3383,-20.0792,5.58,STAR G2III,0.77,,0.45,,0.5,G
2491,HR328,79Psi2Psc,16.9883,20.7392,5.55,STAR A3V,0.13,,,,0.13,A
2492,HR3280,,124.5788,-65.6133,5.07,STAR K1III,1.15,,0.58,,1.19,K
2493,HR3281,,125.4775,-17.5864,5.75,STAR K1III,1.05,,,,0.98,K
2494,HR3282,,125.3458,-33.0544,4.83,STAR K2II,1.45,,0.75,,1.6,K
2495,HR3283,,125.3375,-36.4844,5.2,STAR B2IV,-0.19,,,,-0.82,B
2496,HR3284,20    Cnc,125.8408,18.3322,5.95,STAR A9V,0.17,,,,0.13,A
2497,HR3285,,125.6258,-6.1792,6.15,STAR A8IV,0.22,,,,0.13,A
2498,HR3286,,125.3508,-39.6208,6.16,STAR A3V,0.17,,,,,A
2499,HR3287,,126.1783,42.005,6.02,STAR K5III,1.59,,,,1.94,K
2500,HR3288,,125.725,-7.5433,5.96,STAR M1III,1.67,,,,1.85,M
2501,HR3289,22    Pup,125.695,-13.0547,6.11,STAR,1.0,,,,0.89,K
2502,HR329,30    Cet,16.9425,-9.7856,5.82,STAR F7IV,0.43,,,,0.02,F
2503,HR3290,21    Cnc,125.98,10.6319,6.08,STAR M2III,1.49,,,,1.54,M
2504,HR3291,,125.7079,-26.3481,5.9,STAR F3I,0.37,,,,0.27,F
2505,HR3292,,126.2704,35.0114,6.06,STAR K0,1.27,,,,,K
2506,HR3293,,125.3,-57.9731,5.97,STAR B1III,-0.09,,,,-0.8,B
2507,HR3294,,125.6317,-48.4903,4.82,STAR B1V,-0.15,,-0.13,,-0.84,B
2508,HR3295,,126.1517,-4.7169,6.01,STAR F2V,0.46,,,,0.04,F
2509,HR3296,,125.8217,-38.2858,6.32,STAR M1III,1.63,,,,1.86,M
2510,HR3297,1    Hya,126.1458,-3.7511,5.61,STAR F3V,0.46,,,,-0.06,F
2511,HR3298,,125.2821,-64.1061,6.12,STAR G6III,0.93,,,,,G
2512,HR3299,25    Cnc,126.4579,17.0461,6.14,STAR F6V,0.41,,,,-0.03,F
2513,HR33,6    Cet,2.8163,-15.4681,4.89,STAR F7V,0.49,,,,-0.03,F
2514,HR330,80    Psc,17.0925,5.6497,5.52,STAR F0III,0.34,,0.18,,0.0,F
2515,HR3300,,125.73,-52.1239,5.85,STAR A0V,0.01,,,,,A
2516,HR3301,Kap1Vol,124.9542,-71.515,5.37,STAR B9III,-0.06,,,,-0.31,B
2517,HR3302,Kap2Vol,125.0029,-71.5053,5.65,STAR A0IV,-0.1,,,,-0.31,B
2518,HR3303,,127.4425,67.2975,5.88,STAR G8III,0.97,,,,,G
2519,HR3304,22Phi1Cnc,126.6154,27.8936,5.57,STAR K5III,1.4,,,,1.68,K
2520,HR3305,,126.3979,2.1022,5.73,STAR K5III,1.53,,,,1.86,K
2521,HR3306,,126.4783,7.5644,5.13,STAR G7II,0.94,,-0.06,,0.64,G
2522,HR3307,Eps Car,125.6283,-59.5097,1.86,STAR K3III,1.28,,0.89,,0.19,K
2523,HR3308,,126.2296,-23.1536,5.68,STAR A2,0.06,,,,,A
2524,HR3309,,126.9033,45.6531,6.32,STAR G5V,0.62,,,,0.12,G
2525,HR331,Ups Phe,16.9496,-41.4869,5.21,STAR A3IV,0.16,,0.09,,0.09,A
2526,HR3310,23Phi2Cnc,126.695,26.9344,6.32,STAR A6V,0.18,,,,0.09,A
2527,HR3311,23Phi2Cnc,126.6958,26.9353,6.3,STAR A3V,0.18,,,,0.09,A
2528,HR3312,24    Cnc,126.6658,24.5342,7.02,STAR F0III,0.32,,,,0.07,F
2529,HR3313,24    Cnc,126.6671,24.5353,7.81,STAR F7V,0.52,,,,-0.04,F
2530,HR3314,,126.415,-3.9064,3.9,STAR A0V,-0.02,,-0.05,,-0.02,A
2531,HR3315,,126.2654,-24.0461,5.28,STAR K5III,1.48,,,,1.83,K
2532,HR3316,,126.3296,-21.0458,6.01,STAR F3V,0.4,,,,,F
2533,HR3317,,126.4142,-17.4394,6.44,STAR K0,,,,,,K
2534,HR3318,Alp Cha,124.6317,-76.9197,4.07,STAR F5III,0.39,,0.23,,-0.02,F
2535,HR3319,27    Cnc,126.6829,12.6544,5.5,STAR M3III,1.6,,1.41,,1.92,M
2536,HR332,Iot Tuc,16.8279,-61.7753,5.37,STAR G5III,0.88,,,,,G
2537,HR3320,,126.4817,-14.9297,5.98,STAR A5,0.17,,0.06,,0.13,A
2538,HR3321,2    Hya,126.6133,-3.9875,5.59,STAR A5III,0.22,,,,0.09,F
2539,HR3322,,126.2383,-42.7694,5.98,STAR B3V,-0.17,,,,-0.69,B
2540,HR3323,1Omi UMa,127.5663,60.7181,3.36,STAR G5III,0.84,,0.42,,0.52,G
2541,HR3324,,126.6746,-12.5344,5.54,STAR K2III,1.19,,,v,1.14,K
2542,HR3325,,126.8217,-6.4097,6.59,STAR F4III,0.51,,,,0.06,F
2543,HR3326,,126.4662,-42.1533,5.47,STAR B3V,-0.15,,,,-0.63,B
2544,HR3327,,126.5733,-39.0594,6.53,STAR B9V,-0.09,,,,-0.36,B
2545,HR3328,,126.5758,-39.0603,7.25,STAR A2V,0.08,,,,0.06,A
2546,HR3329,28    Cnc,127.1533,24.1447,6.1,STAR F0V,0.24,,,,0.15,F
2547,HR333,,18.0696,79.6739,5.64,STAR A3V,0.01,,,,0.03,A
2548,HR3330,,126.3792,-51.7281,5.17,STAR B2V,-0.16,,,,,B
2549,HR3331,,126.7117,-29.2153,6.73,STAR B9V,-0.05,,,,,B
2550,HR3332,,128.2225,69.32,6.31,STAR K0,1.35,,,,,K
2551,HR3333,29    Cnc,127.1554,14.2108,5.95,STAR A5V,0.19,,,,0.14,A
2552,HR3334,Eta Vol,125.5183,-73.4,5.29,STAR A0IV,0.01,,,,-0.01,A
2553,HR3335,,126.8887,-20.8439,6.56,STAR A2V,0.04,,,,,A
2554,HR3336,,126.8183,-31.6731,6.33,STAR G8III,0.9,,,,,G
2555,HR3337,,127.1217,-2.5172,6.39,STAR A5,0.33,,,,0.08,A
2556,HR3338,,127.0821,-8.8161,6.43,STAR K0,1.2,,,,1.23,K
2557,HR3339,,126.9729,-26.1325,6.62,STAR A2IV,0.11,,,,,A
2558,HR334,31Eta Cet,17.1475,-10.1822,3.45,STAR K1III,1.16,,0.58,,1.19,K
2559,HR3340,The Cha,125.1604,-77.4844,4.35,STAR K2III,1.16,,0.57,,1.2,K
2560,HR3341,,126.605,-52.8075,6.05,STAR A0V,0.06,,,,,A
2561,HR3342,,127.2121,-9.7483,6.0,STAR F2III,0.42,,,,0.2,F
2562,HR3343,,126.9971,-35.1139,5.75,STAR B3V,-0.15,,,,-0.7,B
2563,HR3344,,127.1496,-23.0717,6.51,STAR A2,0.05,,,,0.08,A
2564,HR3345,,127.2221,-20.9503,6.67,STAR B8III,-0.06,,,,-0.41,B
2565,HR3346,,126.465,-64.6008,5.97,STAR G8III,0.96,,,,0.73,G
2566,HR3347,Bet Vol,126.4342,-66.1369,3.77,STAR K1III,1.13,,0.56,,1.14,K
2567,HR3348,,127.8329,37.2658,6.18,STAR A0V,-0.03,,,,-0.15,A
2568,HR3349,,126.8642,-55.0117,6.53,STAR A0V,-0.02,,,,,A
2569,HR335,42Phi And,17.3758,47.2419,4.25,STAR B7V,-0.07,,-0.05,,-0.34,B
2570,HR3350,,126.9021,-53.0886,5.09,STAR A9III,0.25,,,,0.14,A
2571,HR3351,,128.1396,53.1147,6.24,STAR K0IV,1.01,,0.51,,0.83,K
2572,HR3352,,129.2029,74.7236,6.31,STAR A2,,,,,,A
2573,HR3353,,127.365,-27.3325,6.7,STAR B4V,-0.13,,,,-0.55,B
2574,HR3354,2    UMa,128.6508,65.145,5.47,STAR A2,0.18,,0.04,,0.1,A
2575,HR3355,30Ups1Cnc,127.8771,24.0811,5.75,STAR F0III,0.28,,,,0.05,F
2576,HR3356,,127.2817,-44.1606,5.79,STAR B2V,-0.16,,-0.15,t,-0.75,B
2577,HR3357,31The Cnc,127.8988,18.0944,5.35,STAR K5III,1.56,,,,1.93,K
2578,HR3358,,127.2696,-47.9292,5.33,STAR B2IV,-0.14,,,,-0.79,B
2579,HR3359,,127.365,-44.725,4.99,STAR B2IV,-0.16,,-0.17,,-0.79,B
2580,HR336,31    Cas,17.6637,68.7786,5.29,STAR A0V,-0.02,,,,-0.06,A
2581,HR3360,,128.2292,38.0164,5.9,STAR K2III,1.11,,,,1.17,K
2582,HR3361,,127.9775,9.8144,6.83,STAR B9,-0.07,,,,-0.17,B
2583,HR3362,,127.6192,-32.1594,5.65,STAR K2III,1.49,,,,1.78,K
2584,HR3363,,127.44,-46.3319,5.99,STAR B5III,-0.15,,,,,B
2585,HR3364,,127.6233,-36.7211,6.69,STAR M2I,1.95,,,,2.09,M
2586,HR3365,32    Lyn,128.3408,36.4364,6.24,STAR F5V,0.36,,,,-0.08,F
2587,HR3366,33Eta Cnc,128.1771,20.4411,5.33,STAR K3III,1.25,,0.61,,1.39,K
2588,HR3367,,127.8788,-19.5775,5.42,STAR A0V,-0.06,,,,,B
2589,HR3368,,127.4013,-55.1911,6.36,STAR G0V,0.8,,,,,G
2590,HR3369,32Ups2Cnc,128.2504,24.0847,6.36,STAR G9III,1.02,,0.5,,0.88,G
2591,HR337,43Bet And,17.4329,35.6206,2.06,STAR M0III,1.58,,1.0,e,1.96,M
2592,HR3370,,126.8204,-70.0933,5.53,STAR A0V,-0.03,,,,-0.04,A
2593,HR3371,,127.6633,-44.7372,6.3,STAR B4IV,-0.02,,-0.06,,-0.49,B
2594,HR3372,34    Cnc,128.1662,10.0661,6.46,STAR A1V,-0.02,,,,-0.04,A
2595,HR3373,,127.8525,-39.0642,6.31,STAR B4V,-0.15,,,,-0.56,B
2596,HR3374,,128.1387,-15.0294,6.38,STAR F0V,0.27,,,,0.09,A
2597,HR3375,,127.795,-47.8667,6.39,STAR B2V,-0.15,,,,-0.65,B
2598,HR3376,,128.4379,13.2572,6.28,STAR K0III,1.17,,,,1.23,K
2599,HR3377,33    Lyn,128.6825,36.4194,5.78,STAR A2V,0.04,,,,0.02,A
2600,HR3378,,128.4312,4.7567,5.87,STAR G5III,1.07,,,,0.87,G
2601,HR3379,,129.9275,73.6297,6.15,STAR G7III,1.02,,,,,G
2602,HR338,Zet Phe,17.0963,-55.2458,3.92,STAR B6V,-0.08,,-0.12,,-0.41,B
2603,HR3380,,128.5554,8.4519,6.03,STAR F3IV,0.33,,,,0.04,F
2604,HR3381,,128.27,-24.6064,6.19,STAR A8IV,0.27,,,,,F
2605,HR3382,,127.8733,-54.3942,6.34,STAR K3III,1.31,,,,1.4,K
2606,HR3383,,128.5067,-2.1517,5.81,STAR A1V,0.0,,,,0.0,A
2607,HR3384,,128.2146,-31.5008,6.38,STAR K0V,0.79,E,0.28,,0.34,K
2608,HR3385,,128.2442,-34.6339,6.36,STAR K0V,0.95,,,,,G
2609,HR3386,,128.02,-53.2122,5.69,STAR K0III,0.58,,,,,A
2610,HR3387,35    Cnc,128.8308,19.59,6.58,STAR G0III,0.68,,0.37,,0.25,G
2611,HR3388,,128.3329,-38.3711,6.49,STAR B2V,-0.18,,,,-0.65,B
2612,HR3389,,128.4096,-38.8489,5.96,STAR B5III,-0.14,,,,,B
2613,HR339,81Psi3Psc,17.455,19.6586,5.55,STAR G0III,0.69,,,,,F
2614,HR3390,,128.3767,-46.9711,6.24,STAR K3III,1.56,,,,,K
2615,HR3391,3Pi 1UMa,129.7988,65.0208,5.64,STAR G1V,0.62,,0.33,,0.07,G
2616,HR3392,,128.8537,2.7436,6.33,STAR G9III,1.02,,,,0.87,G
2617,HR3393,,126.0825,-80.9142,5.69,STAR G8III,1.02,,,,0.74,G
2618,HR3394,,129.0321,15.3136,6.32,STAR F0IV,,,,,,F
2619,HR3395,,128.9625,6.62,5.99,STAR F8V,0.52,,,,0.04,F
2620,HR3396,,128.9637,6.6225,7.25,STAR G5V,0.71,,,,0.27,G
2621,HR3397,,128.6321,-32.5986,6.43,STAR G5IV,0.75,,,,0.23,G
2622,HR3398,3    Hya,128.8675,-7.9822,5.72,STAR A1,-0.03,,,v,-0.01,A
2623,HR3399,,128.6221,-37.6114,6.3,STAR K5III,1.56,,,,1.74,M
2624,HR34,Kap2Scl,2.8933,-27.7997,5.41,STAR K5III,1.34,,,,1.46,K
2625,HR340,44    And,17.5783,42.0814,5.65,STAR F8V,0.6,,,,,F
2626,HR3400,,129.5925,53.4014,5.66,STAR G8IV,0.96,,,,,G
2627,HR3401,,129.7925,59.9394,6.48,STAR A2V,,,,,,A
2628,HR3402,,128.87,-26.8436,5.96,STAR A1V,0.37,,,,,A
2629,HR3403,4Pi 2UMa,130.0533,64.3278,4.6,STAR K1III,1.17,,0.63,,1.16,K
2630,HR3404,,128.8025,-39.97,6.47,STAR G1V,0.58,,,,,F
2631,HR3405,,129.75,52.925,6.42,STAR K0,,,,,,K
2632,HR3406,36    Cnc,129.2742,9.6556,5.88,STAR A3V,0.09,,,,0.1,A
2633,HR3407,,128.6817,-49.9442,5.01,STAR K1II,1.33,,0.68,,1.38,K
2634,HR3408,,129.8233,52.7117,5.91,STAR,1.17,,,,1.05,K
2635,HR3409,,129.5792,32.8019,5.94,STAR,1.12,,,,,K
2636,HR341,,17.5808,25.4578,5.8,STAR K7III,1.47,,,,1.82,K
2637,HR3410,4Del Hya,129.4142,5.7036,4.16,STAR A1V,0.0,,0.01,,0.01,A
2638,HR3411,,129.3629,-4.9336,6.19,STAR K0,1.05,,,,0.89,K
2639,HR3412,37    Cnc,129.5217,9.5747,6.53,STAR A1V,-0.02,,,,-0.04,A
2640,HR3413,,128.9671,-50.97,5.8,STAR B8,-0.13,,,v,-0.54,A
2641,HR3414,,128.8317,-58.0092,4.86,STAR K0III,1.0,,0.49,,0.81,K
2642,HR3415,,128.8142,-58.225,5.26,STAR B3V,-0.14,,-0.16,,-0.61,B
