name,spectral_type
HR  1229, A1Vp?He-n?"
HR   123, B8Vn"
HR  1230, G8III+A3.5IV:"
HR  1231, M0III-IIIb"
HR  1232, K0/1III"
HR  1233, ~"
HR  1234, A0V"
HR  1235, K4III"
HR  1236, K1/2III"
HR  1237, A0V"
HR  1238, F4V"
HR  1239, B4IV"
HR   124, K2III"
HR  1240, ApSi"
HR  1241, K2III"
HR  1242, F0II"
HR  1243, B5V"
HR  1244, B5III/IV"
HR  1245, F5IV/V"
HR  1246, A1V"
HR  1247, M1.5III"
HR  1248, A3m"
HR  1249, F7V"
HR   125, A1Va"
HR  1250, M1III"
HR  1251, A0.5Va"
HR  1252, K1II+B7.5IV:"
HR  1253, B5V"
HR  1254, F2Vs"
HR  1255, K0III-IV"
HR  1256, K0III-IIIb"
HR  1257, F6V"
HR  1258, B3V"
HR  1259, K2IIICNII"
HR   126, B9.5Va"
HR  1260, B0III"
HR  1261, A0IVn"
HR  1262, G5V"
HR  1263, K2/3III/IV"
HR  1264, M4III"
HR  1265, K1III"
HR  1266, K4III"
HR  1267, K1II"
HR  1268, Ap"
HR  1269, F0"
HR   127, A3IV"
HR  1270, G7II"
HR  1271, B9.5V"
HR  1272, A1V"
HR  1273, B3Ve"
HR  1274, G8/K0III"
HR  1275, F0IV/V"
HR  1276, F5V"
HR  1277, K1III"
HR  1278, F8V"
HR  1279, F3V"
HR   128, A1Vn"
HR  1280, K5III"
HR  1281, K1III"
HR  1282, K0"
HR  1283, K2III"
HR  1284, B9.5V"
HR  1285, K0III"
HR  1286, K2-IIICN1"
HR  1287, F2IV-V"
HR  1288, B5IV"
HR  1289, B5V"
HR   129, A0Vnn_lB"
HR  1290, G8III"
HR  1291, F3V"
HR  1292, F4V"
HR  1293, K1III"
HR  1294, G1V"
HR  1295, K0III"
HR  1296, A4III"
HR  1297, B8III"
HR  1298, F0III"
HR  1299, K0IIICN-0.5CH-2"
HR    13, K1III"
HR   130, BC0.7Ia"
HR  1300, A1V+(F/G)"
HR  1301, G9III"
HR  1302, F2IV/V"
HR  1303, G0Ib"
HR  1304, G8III"
HR  1305, B7V"
HR  1306, G5II+A2V"
HR  1307, B8V"
HR  1308, A2m"
HR  1309, F2V"
HR   131, K0III"
HR  1310, K0"
HR  1311, G5III+A7V:"
HR  1312, B3V"
HR  1313, K1III"
HR  1314, A2Vn"
HR  1315, B9Vn"
HR  1316, K3/4III"
HR  1317, G6III:"
HR  1318, K2III"
HR  1319, F5V"
HR   132, B9.5V"
HR  1320, B3IV"
HR  1321, G8V"
HR  1322, G0IV"
HR  1323, K3III"
HR  1324, A1III"
HR  1325, K0V"
HR  1326, K2III"
HR  1327, G4III"
HR  1328, B9V"
HR  1329, A3m"
HR   133, A2IV"
HR  1330, A7IV"
HR  1331, F0V"
HR  1332, K0II"
HR  1333, B1.5IV"
HR  1334, A4III"
HR  1335, M0III"
HR  1336, G8IIIa:"
HR  1337, K0III"
HR  1338, F1V"
HR  1339, B9Vsp"
HR   134, G8III"
HR  1340, K0III"
HR  1341, A0VpSi"
HR  1342, A3V"
HR  1343, G8+IIIb"
HR  1344, K5III"
HR  1345, M4III"
HR  1346, G9.5IIIabCN0.5"
HR  1347, B8V+B9.5V?"
HR  1348, K0III"
HR  1349, K0"
HR   135, K0III"
HR  1350, B4IV"
HR  1351, F0IV"
HR  1352, A4V"
HR  1353, A3mA5-F2"
HR  1354, F2Vn"
HR  1355, K2III"
HR  1356, F0IV-V"
HR  1357, ApEuCr(Sr)"
HR  1358, DA3+F6V"
HR  1359, A2/3V"
HR   136, A0V"
HR  1360, G8III-IV"
HR  1361, A4V"
HR  1362, K0III"
HR  1363, B7II"
HR  1364, K2III"
HR  1365, F7IV/V"
HR  1366, K3III"
HR  1367, A0V"
HR  1368, A3m"
HR  1369, B9Vnn"
HR   137, B8V"
HR  1370, M0III"
HR  1371, B9III:"
HR  1372, ~"
HR  1373, G9.5IIICN0.5"
HR  1374, F2V"
HR  1375, B8IV-V"
HR  1376, A1m"
HR  1377, B8V"
HR  1378, B3V"
HR  1379, ~"
HR   138, K1III"
HR  1380, A2Vs"
HR  1381, A3V"
HR  1382, A0III"
HR  1383, A1V"
HR  1384, K5III"
HR  1385, F4V"
HR  1386, K1III"
HR  1387, A7IV-V"
HR  1388, F0Vn"
HR  1389, A2IV-Vs"
HR   139, A7IV"
HR  1390, K0III"
HR  1391, F7V"
HR  1392, A8Vn"
HR  1393, K3.5III"
HR  1394, F0V"
HR  1395, G8III"
HR  1396, G7IIIFe-0.5"
HR  1397, B6IV"
HR  1398, F3/5IV"
HR  1399, B7V"
HR    14, K2IIICNIVp"
HR   140, F6V"
HR  1400, K0III"
HR  1401, A8m"
HR  1402, ~"
HR  1403, Am"
HR  1404, F5.5V"
HR  1405, G1V+G6V"
HR  1406, F7V"
HR  1407, K1IIIb"
HR  1408, F0IV"
HR  1409, G9.5IIICN0.5"
HR   141, K0"
HR  1410, A3V"
HR  1411, G9IIIFe-0.5"
HR  1412, A7III"
HR  1413, K0III"
HR  1414, kA5hF0VmF0"
HR  1415, B5III/IV"
HR  1416, K4/5III"
HR  1417, B0III+B0IV/V"
HR  1418, F5.5V"
HR  1419, B9.5Vn"
HR   142, F7V+G4V"
HR  1420, B5V"
HR  1421, K2III"
HR  1422, F0V"
HR  1423, B2(V)ne"
HR  1424, B7III"
HR  1425, G8III"
HR  1426, K2/3III+A"
HR  1427, A6IV"
HR  1428, Am"
HR  1429, M1III"
HR   143, F5V"
HR  1430, F0IV"
HR  1431, K0III"
HR  1432, F1.5Vn"
HR  1433, K1III"
HR  1434, F0V"
HR  1435, K0III"
HR  1436, ~"
HR  1437, K0/1III"
HR  1438, A2/3V"
HR  1439, K0II"
HR   144, B7III"
HR  1440, A1V"
HR  1441, B9III"
HR  1442, B9IVn"
HR  1443, B2IV/V"
HR  1444, A8V"
HR  1445, B8/9"
HR  1446, G8III"
HR  1447, K3III"
HR  1448, A2IV"
HR  1449, ApSi"
HR   145, F7V"
HR  1450, K3III"
HR  1451, M0/1III"
HR  1452, K3III"
HR  1453, K0+IIIbFe-0.5"
HR  1454, K0II-III+B9V"
HR  1455, G8III+F6IV"
HR  1456, F0/2III"
