name,spectral_type
HR  2006, A0Vs"
HR  2007, G2V"
HR  2008, K0/1II"
HR  2009, K1III"
HR   201, K5III"
HR  2010, B9IV"
HR  2011, M0III"
HR  2012, K0.5IIICN0.5"
HR  2013, G7III:"
HR  2014, G8III"
HR  2015, A7V"
HR  2016, G9III:"
HR  2017, K1III"
HR  2018, M3III"
HR  2019, K3III"
HR   202, F7V"
HR  2020, A6V"
HR  2021, G8III"
HR  2022, G0V"
HR  2023, K3III"
HR  2024, K1III+A0/1"
HR  2025, A2V"
HR  2026, A1V"
HR  2027, A2V"
HR  2028, M1+IIIFe-1"
HR  2029, A2V"
HR   203, G0V"
HR  2030, K0IIb+B8IV"
HR  2031, B2V"
HR  2032, K1III"
HR  2033, A0VpSiSrCr"
HR  2034, A0V"
HR  2035, K0IIIbFe-1.5CH0.5"
HR  2036, K0IIICNII"
HR  2037, K2-IIb"
HR  2038, B9V"
HR  2039, A0V"
HR   204, A2III"
HR  2040, K1III_CN+1"
HR  2041, K0"
HR  2042, K1III"
HR  2043, K3III"
HR  2044, K0/1III+A4V"
HR  2045, A5V"
HR  2046, A5IV"
HR  2047, G0V"
HR  2048, G9II"
HR  2049, G8III"
HR   205, B9.5IIIp(HgMn)"
HR  2050, A2V"
HR  2051, K2III"
HR  2052, B2V"
HR  2053, K1III"
HR  2054, G8III"
HR  2055, K1III"
HR  2056, B5V"
HR  2057, K0II/III"
HR  2058, B2III/IV"
HR  2059, B9.5IV/V"
HR   206, F0IV"
HR  2060, A3IV"
HR  2061, M1-M2Ia-Iab"
HR  2062, K0III"
HR  2063, M6-9.5e"
HR  2064, B6V"
HR  2065, K4III"
HR  2066, A2II"
HR  2067, G8"
HR  2068, F3V"
HR  2069, K3III"
HR   207, G0Ibe"
HR  2070, K1III"
HR  2071, A0V"
HR  2072, F7IV"
HR  2073, G8III"
HR  2074, A0Ib"
HR  2075, B9Ib"
HR  2076, K2III"
HR  2077, K0IIIb"
HR  2078, K5"
HR  2079, A5m"
HR   208, B8III"
HR  2080, K2III"
HR  2081, G5III"
HR  2082, M0III"
HR  2083, K1IV-V"
HR  2084, B0/1II/III"
HR  2085, F2V"
HR  2086, K0/1III"
HR  2087, K1IIICNII"
HR  2088, A1IV-Vp"
HR  2089, B3III"
HR   209, G3V"
HR  2090, K0III"
HR  2091, M3IIb"
HR  2092, F2III"
HR  2093, K4III"
HR  2094, F1V"
HR  2095, A0VpSi"
HR  2096, K2III"
HR  2097, K0III"
HR  2098, G8III"
HR  2099, G8III:+A5V"
HR    21, F2III"
HR   210, G8/K0III"
HR  2100, A8V"
HR  2101, A1VpSi"
HR  2102, K2III-IV"
HR  2103, A0V"
HR  2104, F0III"
HR  2105, K0"
HR  2106, B2.5IV"
HR  2107, F2/3IV"
HR  2108, A3III"
HR  2109, B9V"
HR   211, M4III"
HR  2110, A3VkA0.5mA0_lB"
HR  2111, A0Iab"
HR  2112, B9.5IV"
HR  2113, K1.5III-IIIbCN-1"
HR  2114, K5/M0III"
HR  2115, K0"
HR  2116, B8IVe"
HR  2117, G8II"
HR  2118, F2IV"
HR  2119, K0III"
HR   212, K0IV"
HR  2120, G8/K1II"
HR  2121, K0+IIICN1-"
HR  2122, F4V"
HR  2123, A7III"
HR  2124, A1Vm+F2V"
HR  2125, B9V"
HR  2126, K0"
HR  2127, B8V"
HR  2128, B5III/V"
HR  2129, A0V"
HR   213, G8II"
HR  2130, B8V"
HR  2131, K5III"
HR  2132, F3V"
HR  2133, A0Vs"
HR  2134, G5III"
HR  2135, B2Ia"
HR  2136, K0III"
HR  2137, G8III+F0V:"
HR  2138, A1mA3-A7"
HR  2139, B9VpSrCr"
HR   214, F0Vn"
HR  2140, K2.5IIIFe-2"
HR  2141, G0V"
HR  2142, B1V"
HR  2143, kA7IVmF2/5IIISr"
HR  2144, G7III:"
HR  2145, G6II"
HR  2146, M3IIIa"
HR  2147, K0III"
HR  2148, A3+K/M"
HR  2149, B2V"
HR   215, K1III+KV"
HR  2150, F3V"
HR  2151, M4III"
HR  2152, G8III"
HR  2153, G9III"
HR  2154, B5II/III"
HR  2155, A0V"
HR  2156, M6+IIIa"
HR  2157, F8V"
HR  2158, F5.5V"
HR  2159, B3IV"
HR   216, G8III"
HR  2160, A0V"
HR  2161, B3V"
HR  2162, G7VpkCH-1"
HR  2163, A2V"
HR  2164, A1V"
HR  2165, K1III-IIIbCH-0.5"
HR  2166, M3II/III"
HR  2167, B9II:"
HR  2168, M1III"
HR  2169, K4III"
HR   217, F8V"
HR  2170, B5Ve"
HR  2171, A2mA5-A9"
HR  2172, A5m"
HR  2173, B3Ia"
HR  2174, B9V"
HR  2175, kA5hA5mF0(IV-V)"
HR  2176, A2Va+"
HR  2177, B7III"
HR  2178, K1III"
HR  2179, F0IV"
HR   218, K3III"
HR  2180, A0V"
HR  2181, A0V"
HR  2182, B9V(n)"
HR  2183, K2III"
HR  2184, K1II"
HR  2185, K0III"
HR  2186, F5V"
HR  2187, B8II"
HR  2188, K1III"
HR  2189, M1III"
HR   219, F9V"
HR  2190, M0-M1.5Iab"
HR  2191, A0Vnn"
HR  2192, G8/K0III"
HR  2193, B9.5V"
HR  2194, A0V"
HR  2195, B9/9.5IV/V"
HR  2196, K2/3III"
HR  2197, M1-M2Ia-Iab"
HR  2198, B5Vn"
HR  2199, B3IV"
HR    22, G9III"
HR   220, B9V"
HR  2200, K1III"
HR  2201, K3III"
HR  2202, B8II/III"
HR  2203, M2II/III"
HR  2204, F7V"
HR  2205, B2V"
HR  2206, B9.5IV/V"
HR  2207, B8Vnn"
HR  2208, G5V"
HR  2209, A0Vn"
HR   221, G8III"
HR  2210, A1V"
HR  2211, A0V"
HR  2212, B1/2(III)n"
HR  2213, B5II/III"
HR  2214, A6m"
HR  2215, M3III"
HR  2216, M2IIIa"
HR  2217, F4V:"
HR  2218, K0III"
HR  2219, G8.5IIIb"
HR   222, K2.5V"
HR  2220, F5.5IV-V"
HR  2221, B8V"
HR  2222, B1V"
HR  2223, B7V"
HR  2224, B5II/III"
HR  2225, G6.5V"
HR  2226, B8V"
HR  2227, K1III:"
HR  2228, F0V"
HR  2229, B9II-III"
HR   223, B9III"
HR  2230, G8III"
HR  2231, B6Ve"
HR  2232, B3IV"
HR  2233, F5V"
HR  2234, A3Vas"
HR  2235, K5II"
HR  2236, F3V"
HR  2237, B9V"
HR  2238, A2Vs"
HR  2239, K2III"
HR   224, K5-III"
HR  2240, B3Iab"
HR  2241, F5V"
HR  2242, K2III"
HR  2243, K1III"
HR  2244, B9V"
HR  2245, M2.5III"
HR  2246, B5III"
HR  2247, A2V"
HR  2248, B5V:"
HR  2249, B2/B3Ve"
HR   225, F8V"
HR  2250, A0V"
HR  2251, G0V"
HR  2252, K4III"
HR  2253, A3V"
HR  2254, F8.5V"
HR  2255, F0IV"
HR  2256, G9IIIbCN0.5"
HR  2257, A2Vp"
HR  2258, B9IIIpSi(Cr)"
HR  2259, K0"
HR   226, B5V"
HR  2260, K1III"
HR  2261, G7V"
HR  2262, A5II"
HR  2263, K2III"
HR  2264, F6III+"
HR  2265, A2Vn"
HR  2266, B2/3V"
HR  2267, K1.5III"
HR  2268, M1(III)"
HR  2269, K5III"
HR   227, K3III"
HR  2270, B9V"
HR  2271, B3II/III"
HR  2272, A1Vs"
HR  2273, B2V"
HR  2274, F9.5V"
HR  2275, K5III"
HR  2276, B5III"
HR  2277, G9:III:"
HR  2278, K2/3III"
HR  2279, B9V"
HR   228, K0III"
HR  2280, A4/5IV"
HR  2281, G1.5Ib"
HR  2282, B2.5V"
HR  2283, G0VFe-0.8CH-0.3"
HR  2284, B1.5IVe"
HR  2285, A4V"
HR  2286, M3IIIab"
HR  2287, F0III"
HR  2288, B3V"
HR  2289, K5-M1Iab-Ib"
HR   229, G8III"
HR  2290, G2Va"
HR  2291, kA3hA7VmF2"
HR  2292, B3III"
HR  2293, K4III"
HR  2294, B1II-III"
HR  2295, A0V"
HR  2296, G7II"
HR  2297, B8IIIn"
HR  2298, A8V(n)"
HR  2299, F5V"
HR    23, G8III+A/F"
HR   230, F4III"
HR  2300, B8Vn"
HR  2301, K5/M0III"
HR  2302, G9III"
HR  2303, K2/3III"
HR  2304, A2Vn"
HR  2305, K2III"
HR  2306, B8III"
HR  2307, G8III"
HR  2308, C-N5-"
HR  2309, B2.5Ve"
HR   231, F5III"
HR  2310, G3Iabv+A0p"
HR  2311, K5III"
HR  2312, B9/9.5IV"
HR  2313, F9V"
HR  2314, A0V"
HR  2315, A0V"
HR  2316, K1II/III"
HR  2317, G8III"
HR  2318, G2Va"
HR  2319, K0"
HR   232, A3IV"
HR  2320, A1mA3-A9"
HR  2321, A2V"
HR  2322, G8III"
HR  2323, B9.5V"
HR  2324, A1V"
HR  2325, B5V"
HR  2326, A9II"
HR  2327, A0V"
HR  2328, B9V"
HR  2329, K3III"
HR   233, G5III+A0V"
HR  2330, A2Vs"
HR  2331, K0.5IIIbFe0.5"
HR  2332, F5.5-G0Ib"
HR  2333, G8III"
HR  2334, K1II"
HR  2335, K2/3III"
HR  2336, A3V"
HR  2337, M1III"
HR  2338, K4III"
HR  2339, F5"
HR   234, A3VpSiSrCrEuKsn"
HR  2340, G5"
HR  2341, K5/M0III"
HR  2342, K2III-IV"
HR  2343, B6IVe"
HR  2344, B2V"
HR  2345, A0V"
HR  2346, A1V"
HR  2347, B9IV"
HR  2348, B9V"
HR  2349, F8IV"
HR   235, F7V"
HR  2350, A5V"
HR  2351, A9IV"
HR  2352, K5III"
HR  2353, F3V"
HR  2354, G1V"
HR  2355, M1III"
HR  2356, B4Veshell"
HR  2357, B2Vn(e)"
HR  2358, B3V:nne"
HR  2359, K0III"
HR   236, K4III"
HR  2360, B6V"
HR  2361, B4V"
HR  2362, A0III"
HR  2363, K5III"
HR  2364, B3Ve"
HR  2365, F2"
HR  2366, K0III"
HR  2367, K1III"
HR  2368, F2/3V"
HR  2369, K3III"
HR   237, K2.5Ib-IICN-1"
HR  2370, B1.5Vne"
HR  2371, A8V"
HR  2372, ~"
HR  2373, B2III"
HR  2374, B6III"
HR  2375, A3V"
HR  2376, K0III:"
HR  2377, G8III"
HR  2378, K0III"
HR  2379, K1III"
HR   238, F5III"
HR  2380, B3IV/V"
HR  2381, K2III"
HR  2382, K0III"
HR  2383, A3V"
HR  2384, F2V"
HR  2385, A0I"
HR  2386, A8VAm:"
HR  2387, B0.7IV"
HR  2388, G8IIb+A3III"
HR  2389, K0III"
HR   239, A9/F0III"
HR  2390, K3III"
HR  2391, K2III:"
HR  2392, G9III:Ba3.5"
HR  2393, M2/3III"
HR  2394, G8IV-V"
HR  2395, B5IV/V"
HR  2396, K0III"
HR  2397, B2V"
HR  2398, A0Vnn"
HR  2399, G8III"
HR    24, F3V"
HR   240, A4V"
HR  2400, F8VFe-0.4"
HR  2401, F7V"
HR  2402, A2V"
HR  2403, K0III+F/G"
HR  2404, A0Vs"
HR  2405, C-N5-"
HR  2406, K5III"
HR  2407, G8III"
HR  2408, F0III"
HR  2409, B7Ib-II"
HR   241, B9.5V"
HR  2410, B2V"
HR  2411, K3III"
HR  2412, B9IVn"
HR  2413, B8II"
HR  2414, A0III"
HR  2415, B8IVe"
HR  2416, G8III"
HR  2417, A3V"
HR  2418, B8IVe"
HR  2419, K5III"
HR   242, F3III"
HR  2420, B8III"
HR  2421, A1.5IV+"
HR  2422, O8I+O7.5III"
HR  2423, G8/K0III+F/G"
HR  2424, A0V"
HR  2425, B9Mn+F0m"
HR  2426, K0"
HR  2427, K2-III"
HR  2428, K4/5III"
HR  2429, K1.5III-IVFe1"
HR   243, G8/K0II/III"
HR  2430, K0II/III"
HR  2431, G0V"
HR  2432, B1Ib"
HR  2433, B3V"
HR  2434, K1III"
HR  2435, A0II"
HR  2436, G9III"
HR  2437, K1(III)"
HR  2438, B5/7"
HR  2439, F8IV"
HR   244, F9V"
HR  2440, K4III"
HR  2441, B7IV/V"
HR  2442, O9.7Ib"
HR  2443, K1-III"
HR  2444, K0III"
HR  2445, K0II"
HR  2446, B7III"
HR  2447, K1III"
HR  2448, A0IV"
HR  2449, A2V"
HR   245, F2/3V"
HR  2450, K2+IIIaCN0.5Ca1"
HR  2451, B8III"
HR  2452, F8III"
HR  2453, G5Ib"
HR  2454, B8pSiCrSr"
HR  2455, A0V"
HR  2456, O7V+B1.5/2V"
HR  2457, A1V"
HR  2458, M1III"
HR  2459, K5III"
HR   246, A2V"
HR  2460, K1III"
HR  2461, B8III"
HR  2462, G8III"
HR  2463, K0"
HR  2464, K0"
HR  2465, K1IIICNIb"
HR  2466, A2V"
HR  2467, O5V((f))z+O9:V"
HR  2468, G1/2V"
HR  2469, K5III"
HR   247, K1III"
HR  2470, A2.5V"
HR  2471, A2V"
HR  2472, ~"
HR  2473, G8Ib"
HR  2474, K3III"
HR  2475, B4V"
HR  2476, M2"
HR  2477, K0III-IV"
HR  2478, K0+IIICa1"
HR  2479, B0II"
HR   248, K5III"
HR  2480, K4III"
HR  2481, F2V"
HR  2482, A3V+F/G"
HR  2483, F9V"
HR  2484, F5IV-V"
HR  2485, F6V"
HR  2486, F4V"
HR  2487, K0.5III"
HR  2488, A7/9+(F/G)"
HR  2489, A9III"
HR   249, K3III:"
HR  2490, B4IV"
HR  2491, A0mA1Va"
HR  2492, B2V"
HR  2493, G0VFe-0.8CH-0.5"
HR  2494, B3V"
HR  2495, K2III"
HR  2496, ~"
HR  2497, B8IV"
HR  2498, A1IV/V"
HR  2499, A2V"
HR    25, K0III"
HR   250, A0"
HR  2500, F6.5V"
HR  2501, B1.5Vne"
HR  2502, A0IIIe"
HR  2503, K4III"
HR  2504, B8/9III"
HR  2505, K1IIICNII"
HR  2506, K0+III"
HR  2507, B2/B3IVne"
HR  2508, M1Ib-IIa"
HR  2509, B7II/III"
HR   251, F4IV+G0V"
HR  2510, B6Vne"
HR  2511, B7III"
HR  2512, K2/4III"
HR  2513, G5Iab"
HR  2514, F0V+"
HR  2515, K3III"
HR  2516, K3III"
HR  2517, B2.5III"
HR  2518, B8V"
HR  2519, B7III"
HR   252, F7IV/V"
HR  2520, G8III"
HR  2521, B8V"
HR  2522, B7IV"
HR  2523, K1II/III(+G)p"
HR  2524, G6III"
HR  2525, K3III"
HR  2526, K5III"
HR  2527, K4III"
HR  2528, A0/1V"
HR  2529, A2V"
HR   253, G8III"
HR  2530, F3V"
HR  2531, G8III"
HR  2532, A8Vn"
HR  2533, K5III"
HR  2534, B9V"
HR  2535, K3III"
HR  2536, K3III"
HR  2537, B2III"
HR  2538, B1.5Ve"
HR  2539, F2V"
HR   254, A1Vn"
HR  2540, A2IV"
HR  2541, F5V:"
HR  2542, K3III:"
HR  2543, A1/2IV"
HR  2544, B2III/IV"
HR  2545, B6IVe+A"
HR  2546, K5/M0III"
HR  2547, B9.5pSi"
HR  2548, F5.5V"
HR  2549, K2/3III"
HR   255, G8III"
HR  2550, A8VnkA6"
HR  2551, F0Vn"
HR  2552, K0III"
HR  2553, K1III"
HR  2554, G4II"
HR  2555, K0III"
HR  2556, K0III-IV"
HR  2557, A9IIIa"
HR  2558, A3V"
HR  2559, A3/5III"
HR   256, ~"
HR  2560, G5III-IV"
HR  2561, K3III"
HR  2562, F5VFe+0.4"
HR  2563, K2/3III"
HR  2564, kA8mF0Vp"
HR  2565, A9/F0III"
HR  2566, A3III"
HR  2567, M6III"
HR  2568, B8IIIe"
HR  2569, G0V"
HR   257, M4III"
HR  2570, A4V"
HR  2571, B1IV"
HR  2572, A3V"
HR  2573, K0III:"
HR  2574, K3/4III"
HR  2575, F5II/III"
HR  2576, G5V"
HR  2577, B3IVe+K2II"
HR  2578, A0V"
HR  2579, B8V"
HR   258, K0IV(e)"
HR  2580, K2Iab"
HR  2581, K4III"
HR  2582, K2III"
HR  2583, WN4b"
HR  2584, A0V"
HR  2585, A2Vn"
HR  2586, G5III"
HR  2587, G5Ib/II"
HR  2588, A2V"
HR  2589, B8Vn"
HR   259, M4III"
HR  2590, F1.5V"
HR  2591, C-N4.5"
HR  2592, A3mA3-A8"
HR  2593, K2/3III"
HR  2594, K0/1III"
HR  2595, B2/3III"
HR  2596, B3Ib"
HR  2597, F2Ib–II"
HR  2598, B3V"
HR  2599, G9.5III+A0IV:"
HR    26, B9Vn"
HR   260, K3III"
HR  2600, K2III"
HR  2601, F7V"
HR  2602, B7III"
HR  2603, B2III/IV"
HR  2604, K2III"
HR  2605, B8VpSi"
HR  2606, A3V"
HR  2607, F3V"
HR  2608, M1III"
HR  2609, M2III"
HR   261, F4III"
HR  2610, K0II/III"
HR  2611, B2/3V"
HR  2612, F5V"
HR  2613, B6II:"
HR  2614, B2V"
HR  2615, K3-Ib"
HR  2616, B2V"
HR  2617, K0III"
HR  2618, B1.5II"
HR  2619, B4IV/V"
HR   262, A5IV"
HR  2620, A9IV"
HR  2621, B3V"
HR  2622, G0V"
HR  2623, B2III"
HR  2624, B8III"
HR  2625, B3V"
HR  2626, A0V"
HR  2627, B0.5Ia"
HR  2628, B3Vnn"
HR  2629, A1III"
HR   263, K5III"
HR  2630, G5IIa"
HR  2631, M1"
HR  2632, K1III:"
HR  2633, B2IV-V"
HR  2634, K2III"
HR  2635, M2III"
HR  2636, K2III"
HR  2637, F3/5V"
HR  2638, F2II"
HR  2639, K5III"
HR   264, B0.5IVpe"
HR  2640, B2/3III/IV"
HR  2641, G8II/III"
HR  2642, G8III:"
HR  2643, G0V"
HR  2644, A3Va+A3Va"
HR  2645, B9V"
HR  2646, K5Ib"
HR  2647, A3Vs"
HR  2648, B2Vn(e)"
HR  2649, K3III"
HR   265, G8.5IIIbFe-0.5"
HR  2650, G1Ib"
HR  2651, K5"
HR  2652, M1III"
HR  2653, B3Ia"
HR  2654, B9IV/V"
HR  2655, G8IIICNII"
HR  2656, B8III:"
HR  2657, B8II"
HR  2658, A0V"
HR  2659, B8Vn"
HR   266, B7Vn+B9VHgMn+A1V"
HR  2660, G8IV"
HR  2661, A8III"
HR  2662, K3III"
HR  2663, M0III"
HR  2664, K2IIICNIab/b"
HR  2665, K4III"
HR  2666, A3mA3-F0"
HR  2667, G1.5V"
HR  2668, K0.5V"
HR  2669, B9V"
HR   267, K5III"
HR  2670, B1II/III"
HR  2671, S3.5-6.5/6e"
HR  2672, A4IV"
HR  2673, K1"
HR  2674, B9III+B8V"
HR  2675, K1III"
HR  2676, B9III"
HR  2677, F2V"
HR  2678, B0IIIn"
HR  2679, O7.5Vz"
HR   268, M1/2III"
HR  2680, B3V"
HR  2681, K0"
HR  2682, K0III:"
HR  2683, ApSi"
HR  2684, G8III"
HR  2685, G0IIaCH1:"
HR  2686, K2III"
HR  2687, K3III"
HR  2688, B3III"
HR  2689, B9.5/A0III/IV"
HR   269, A6V"
HR  2690, B3Vne"
HR  2691, B3V"
HR  2692, G9V"
HR  2693, F8Ia"
HR  2694, O6.5Vz(n)+O7.5Vz"
HR  2695, B3/5V"
HR  2696, K4III"
HR  2697, K2III"
HR  2698, K0III"
HR  2699, B1Ib/II"
HR    27, F5II"
HR   270, K2III"
HR  2700, A4IV"
HR  2701, K0III"
HR  2702, B3IV/V"
HR  2703, M3III"
HR  2704, B2V"
HR  2705, F3V"
HR  2706, F5III-IV"
HR  2707, F2IV"
HR  2708, G9III"
HR  2709, A0III"
HR   271, G8-III"
HR  2710, A1V"
HR  2711, F8V+F8V"
HR  2712, K0III"
HR  2713, K2III"
HR  2714, A0IV"
HR  2715, K2III"
HR  2716, A0IV/V"
HR  2717, M4III"
HR  2718, B2IV/V"
HR  2719, K2III"
HR   272, K2III"
HR  2720, A8III/IV"
HR  2721, F9V"
HR  2722, A0IVp"
HR  2723, K4III"
HR  2724, A5IV/V"
HR  2725, M1III"
HR  2726, B2.5V+B9V"
HR  2727, A1/2V:+ApSrEu"
HR  2728, G6III"
HR  2729, K0III"
HR   273, A0III"
HR  2730, K4III"
HR  2731, K5III"
HR  2732, K1III"
HR  2733, B2IV"
HR  2734, B2II"
HR  2735, F0/3"
HR  2736, K0III"
HR  2737, K1III:"
HR  2738, M1III"
HR  2739, O9.7III"
HR   274, G6III"
HR  2740, F3VFe-1.0"
HR  2741, B2III/IV"
HR  2742, M4IIIa"
HR  2743, B2III"
HR  2744, K0III"
HR  2745, B4Ve_sh"
HR  2746, B9V"
HR  2747, M4III"
HR  2748, M5IIIe"
HR  2749, B2.5Ve"
HR   275, K0III"
HR  2750, K5III"
HR  2751, A4IIIn"
HR  2752, K0III"
HR  2753, A5Vn"
HR  2754, A0IV/V"
HR  2755, A0V"
HR  2756, B2V"
HR  2757, A0Vn"
HR  2758, A1V"
HR  2759, B8pSi"
HR   276, G8III"
HR  2760, B7V"
HR  2761, ApSi"
HR  2762, B8/9V"
HR  2763, A4IV"
HR  2764, K3Ib-"
HR  2765, K4III"
HR  2766, M2III"
HR  2767, K1III"
HR  2768, A9II"
HR  2769, B4V"
HR   277, A2V"
HR  2770, B3V"
HR  2771, K4III"
HR  2772, A8m"
HR  2773, K4III"
HR  2774, B5Vn"
HR  2775, K0"
HR  2776, F2VkF1mF0"
HR  2777, F2VkF0mF0"
HR  2778, K0III"
HR  2779, F8IV"
HR   278, A4IV"
HR  2780, A2Vn"
HR  2781, O7Iafpvar"
HR  2782, O9II"
HR  2783, B9V"
HR  2784, B8V"
HR  2785, F2Ia"
HR  2786, G2Ib"
HR  2787, B2V+B3IVne"
HR  2788, F2III/IV"
HR  2789, B8II/III"
HR   279, G8III"
HR  2790, B3Vne"
HR  2791, A0V"
HR  2792, K0"
HR  2793, G8III"
HR  2794, K2/3III"
HR  2795, M0III"
HR  2796, G8/K0III"
HR  2797, G7III:"
HR  2798, G1V"
HR  2799, B3V"
HR    28, B8III"
HR   280, B7IIIp"
HR  2800, B3V"
HR  2801, B9III"
HR  2802, M3-III-IIIa"
HR  2803, F8Ib/II"
HR  2804, K5III"
HR  2805, K0.5IIIa"
HR  2806, O9.2IV"
HR  2807, K0III+A3V"
HR  2808, G8III"
HR  2809, B9V"
HR   281, A2V"
HR  2810, A1V"
HR  2811, F2III"
HR  2812, B5II/III"
HR  2813, F5V"
HR  2814, F9V"
HR  2815, B9II/III"
HR  2816, F0:III:"
HR  2817, B2Ve"
HR  2818, A0.5Vs"
HR  2819, B3V"
HR   282, A2Vn"
HR  2820, A5IV"
HR  2821, G9IIIb"
HR  2822, K4III"
HR  2823, B2/3II/III"
HR  2824, B2III"
HR  2825, B2Vne"
HR  2826, B8/9V"
HR  2827, B5Ia"
HR  2828, G6IIb"
HR  2829, B5V"
HR   283, B9.5Vnn_lB"
HR  2830, K2III"
HR  2831, A2Ib/II"
HR  2832, F5VFe-0.8CH-0.5"
HR  2833, G3Ib"
HR  2834, K1+III"
HR  2835, F6V"
HR  2836, A2IV"
HR  2837, F2Vn"
HR  2838, B8V"
HR  2839, A5/7II"
HR   284, M2.5III"
HR  2840, ~"
HR  2841, B5III"
HR  2842, A9IIIb"
HR  2843, F0IIIb"
HR  2844, B9IIIpSr"
HR  2845, B8Ve"
HR  2846, F3V"
HR  2847, B2/3III"
HR  2848, F5.5VFe-1.0CH-0.6"
HR  2849, F6V"
HR   285, K2III"
HR  2850, A0IV"
HR  2851, F0III"
HR  2852, F1V"
HR  2853, F2V"
HR  2854, K3-IIIFe-0.5"
HR  2855, B0.5IVe"
HR  2856, B3/5V"
HR  2857, A4V"
HR  2858, B9IV"
HR  2859, F8III+B3V"
HR   286, A3V"
HR  2860, B5III"
HR  2861, K2III"
HR  2862, K0III"
HR  2863, B9V(pSi)"
HR  2864, K1III"
HR  2865, K3/4III"
HR  2866, F6V"
HR  2867, K4/5III"
HR  2868, F8VFe-1.3CH-0.8"
HR  2869, A1IV"
HR   287, A3V"
HR  2870, B2.5V"
HR  2871, B4V"
HR  2872, A2V"
HR  2873, B2IV"
HR  2874, A5/7Iab/II"
HR  2875, B3V"
HR  2876, K0II"
HR  2877, K2III"
HR  2878, K5III"
HR  2879, G9III"
HR   288, K1III"
HR  2880, F0V"
HR  2881, G2Iab/b"
HR  2882, G3V"
HR  2883, G0VFe-1.6CH-0.5"
HR  2884, K0III"
HR  2885, B3V"
HR  2886, A1Vp"
HR  2887, F1III-IV"
HR  2888, K5III"
HR  2889, B8V"
HR   289, A9IV"
HR  2890, kA0hA2:mA1IVs"
HR  2891, A1.5IV+"
HR  2892, M1III"
HR  2893, A0Vb"
HR  2894, K2III"
HR  2895, B8V"
HR  2896, K0III"
HR  2897, B2II"
HR  2898, F2V"
HR  2899, K0III"
HR    29, K0III"
HR   290, kA3hA7VmA9"
HR  2900, A3III"
HR  2901, B9V"
HR  2902, M1Iabe+B2"
HR  2903, M0III"
HR  2904, A5/7(m)A5-F0"
HR  2905, M0III"
HR  2906, F6IV-V"
HR  2907, B8IV(pSi)"
HR  2908, G8III"
HR  2909, F5V"
HR   291, B9.5V"
HR  2910, F6V"
HR  2911, B2Vne"
HR  2912, A0V"
HR  2913, A9IV"
HR  2914, A5m"
HR  2915, M1"
HR  2916, K1III"
HR  2917, K2III"
HR  2918, G0V"
HR  2919, K2/3III"
HR   292, F0II"
HR  2920, K5III"
HR  2921, B2Ve"
HR  2922, B7V"
HR  2923, K1II"
HR  2924, G8III"
HR  2925, A1III/IV"
HR  2926, F0"
HR  2927, F6III"
HR  2928, B2III"
HR  2929, K5III"
HR   293, A1/2IV"
HR  2930, F5-6IV"
HR  2931, A2V"
HR  2932, B8/9IV"
HR  2933, F0Ib"
HR  2934, K3III"
HR  2935, M0III"
HR  2936, F5III"
HR  2937, B8IV/V"
HR  2938, K5.5III"
HR  2939, K0III"
HR   294, G9IIIbFe-2"
HR  2940, B8V"
HR  2941, K1/2IIICNII"
HR  2942, K1III"
HR  2943, F5IV-V+DQZ"
HR  2944, B8III"
HR  2945, K4III"
HR  2946, A3IVn"
HR  2947, B5/7V"
HR  2948, B6V"
HR  2949, B5IV"
HR   295, G8/K0III"
HR  2950, A0III"
HR  2951, K5III"
HR  2952, B9V"
HR  2953, K0"
HR  2954, B3III"
HR  2955, G8III"
HR  2956, B5/7V"
HR  2957, F7Ib/II"
HR  2958, A2III"
HR  2959, K3III"
HR   296, K0/1III"
HR  2960, K0III"
HR  2961, B3V"
HR  2962, F7V"
HR  2963, B5V"
HR  2964, B3III"
HR  2965, M2III"
HR  2966, B9.5IV/V"
HR  2967, M3+II-III"
HR  2968, B5IV"
HR  2969, A0IIIn"
HR   297, F6V"
HR  2970, G9.5III-IIIbFe-0.5"
HR  2971, B9IV/V(pSi)"
HR  2972, B5II"
HR  2973, K1IIIe"
HR  2974, G2_0-Ia"
HR  2975, K2III:"
HR  2976, M0/1III"
HR  2977, A7VpSrCrEuSiKsn"
HR  2978, K0III"
HR  2979, B9IV"
HR   298, K2"
HR  2980, B9IV"
HR  2981, B3V"
HR  2982, K0III"
HR  2983, K4.5III"
HR  2984, B7IV/V"
HR  2985, G8III-IIIb"
HR  2986, B8V"
HR  2987, K0"
HR  2988, K1III"
HR  2989, A5IV"
HR   299, G8III"
HR  2990, K0IIIb"
HR  2991, A1V"
HR  2992, A3III"
HR  2993, K5III"
HR  2994, B5V"
HR  2995, G6/8III"
HR  2996, A4Iabe"
HR  2997, G9"
HR  2998, G8IV-V"
HR  2999, M3III"
HR     3, K0III-IV"
HR    30, K1/2III"
HR   300, G8IIICNIV"
HR  3000, M0III"
HR  3001, B8IV"
HR  3002, K1III"
HR  3003, K4III"
HR  3004, B2II"
HR  3005, A2V"
HR  3006, B3V"
HR  3007, F0IV"
HR  3008, A1Vnn"
HR  3009, A0/1V"
HR   301, A8IV"
HR  3010, A5/8"
HR  3011, B8V"
HR  3012, K0III"
HR  3013, M0III"
HR  3014, K5III"
HR  3015, F2V"
HR  3016, B2V"
HR  3017, K4III"
HR  3018, F9V"
