name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color
HR 3341,,126.605,-52.8075, 6.05,STAR A0V,0.06,,,,
HR 3342,,127.2121,-9.7483, 6.00,STAR F2III,0.42,,,,0.2
HR 3343,,126.9971,-35.1139, 5.75,STAR B3V,-0.15,,,,-0.7
HR 3344,,127.1496,-23.0717, 6.51,STAR A2,0.05,,,,0.08
HR 3345,,127.2221,-20.9503, 6.67,STAR B8III,-0.06,,,,-0.41
HR 3346,,126.465,-64.6008, 5.97,STAR G8III,0.96,,,,0.73
HR 3347,Bet Vol,126.4342,-66.1369, 3.77,STAR K1III,1.13,,0.56,,1.14
HR 3348,,127.8329,37.2658, 6.18,STAR A0V,-0.03,,,,-0.15
HR 3349,,126.8642,-55.0117, 6.53,STAR A0V,-0.02,,,,
HR 335,42Phi And,17.3758,47.2419, 4.25,STAR B7V,-0.07,,-0.05,,-0.34
HR 3350,,126.9021,-53.0886, 5.09,STAR A9III,0.25,,,,0.14
HR 3351,,128.1396,53.1147, 6.24,STAR K0IV,1.01,,0.51,,0.83
HR 3352,,129.2029,74.7236, 6.31,STAR A2,,,,,
HR 3353,,127.365,-27.3325, 6.70,STAR B4V,-0.13,,,,-0.55
HR 3354,2    UMa,128.6508,65.145, 5.47,STAR A2,0.18,,0.04,,0.1
HR 3355,30Ups1Cnc,127.8771,24.0811, 5.75,STAR F0III,0.28,,,,0.05
HR 3356,,127.2817,-44.1606, 5.79,STAR B2V,-0.16,,-0.15,t,-0.75
HR 3357,31The Cnc,127.8988,18.0944, 5.35,STAR K5III,1.56,,,,1.93
HR 3358,,127.2696,-47.9292, 5.33,STAR B2IV,-0.14,,,,-0.79
HR 3359,,127.365,-44.725, 4.99,STAR B2IV,-0.16,,-0.17,,-0.79
HR 336,31    Cas,17.6637,68.7786, 5.29,STAR A0V,-0.02,,,,-0.06
HR 3360,,128.2292,38.0164, 5.90,STAR K2III,1.11,,,,1.17
HR 3361,,127.9775,9.8144, 6.83,STAR B9,-0.07,,,,-0.17
HR 3362,,127.6192,-32.1594, 5.65,STAR K2III,1.49,,,,1.78
HR 3363,,127.44,-46.3319, 5.99,STAR B5III,-0.15,,,,
HR 3364,,127.6233,-36.7211, 6.69,STAR M2I,1.95,,,,2.09
HR 3365,32    Lyn,128.3408,36.4364, 6.24,STAR F5V,0.36,,,,-0.08
HR 3366,33Eta Cnc,128.1771,20.4411, 5.33,STAR K3III,1.25,,0.61,,1.39
HR 3367,,127.8788,-19.5775, 5.42,STAR A0V,-0.06,,,,
HR 3368,,127.4013,-55.1911, 6.36,STAR G0V,0.8,,,,
HR 3369,32Ups2Cnc,128.2504,24.0847, 6.36,STAR G9III,1.02,,0.5,,0.88
HR 337,43Bet And,17.4329,35.6206, 2.06,STAR M0III,1.58,,1,e,1.96
HR 3370,,126.8204,-70.0933, 5.53,STAR A0V,-0.03,,,,-0.04
HR 3371,,127.6633,-44.7372, 6.30,STAR B4IV,-0.02,,-0.06,,-0.49
HR 3372,34    Cnc,128.1662,10.0661, 6.46,STAR A1V,-0.02,,,,-0.04
HR 3373,,127.8525,-39.0642, 6.31,STAR B4V,-0.15,,,,-0.56
HR 3374,,128.1387,-15.0294, 6.38,STAR F0V,0.27,,,,0.09
HR 3375,,127.795,-47.8667, 6.39,STAR B2V,-0.15,,,,-0.65
HR 3376,,128.4379,13.2572, 6.28,STAR K0III,1.17,,,,1.23
HR 3377,33    Lyn,128.6825,36.4194, 5.78,STAR A2V,0.04,,,,0.02
HR 3378,,128.4312,4.7567, 5.87,STAR G5III,1.07,,,,0.87
HR 3379,,129.9275,73.6297, 6.15,STAR G7III,1.02,,,,
HR 338,Zet Phe,17.0963,-55.2458, 3.92,STAR B6V,-0.08,,-0.12,,-0.41
HR 3380,,128.5554,8.4519, 6.03,STAR F3IV,0.33,,,,0.04
HR 3381,,128.27,-24.6064, 6.19,STAR A8IV,0.27,,,,
HR 3382,,127.8733,-54.3942, 6.34,STAR K3III,1.31,,,,1.4
HR 3383,,128.5067,-2.1517, 5.81,STAR A1V,0,,,,0
HR 3384,,128.2146,-31.5008, 6.38,STAR K0V,0.79,E,0.28,,0.34
HR 3385,,128.2442,-34.6339, 6.36,STAR K0V,0.95,,,,
HR 3386,,128.02,-53.2122, 5.69,STAR K0III,0.58,,,,
HR 3387,35    Cnc,128.8308,19.59, 6.58,STAR G0III,0.68,,0.37,,0.25
HR 3388,,128.3329,-38.3711, 6.49,STAR B2V,-0.18,,,,-0.65
HR 3389,,128.4096,-38.8489, 5.96,STAR B5III,-0.14,,,,
HR 339,81Psi3Psc,17.455,19.6586, 5.55,STAR G0III,0.69,,,,
HR 3390,,128.3767,-46.9711, 6.24,STAR K3III,1.56,,,,
HR 3391,3Pi 1UMa,129.7988,65.0208, 5.64,STAR G1V,0.62,,0.33,,0.07
HR 3392,,128.8537,2.7436, 6.33,STAR G9III,1.02,,,,0.87
HR 3393,,126.0825,-80.9142, 5.69,STAR G8III,1.02,,,,0.74
HR 3394,,129.0321,15.3136, 6.32,STAR F0IV,,,,,
HR 3395,,128.9625,6.62, 5.99,STAR F8V,0.52,,,,0.04
HR 3396,,128.9637,6.6225, 7.25,STAR G5V,0.71,,,,0.27
HR 3397,,128.6321,-32.5986, 6.43,STAR G5IV,0.75,,,,0.23
HR 3398,3    Hya,128.8675,-7.9822, 5.72,STAR A1,-0.03,,,v,-0.01
HR 3399,,128.6221,-37.6114, 6.30,STAR K5III,1.56,,,,1.74
HR 34,Kap2Scl,2.8933,-27.7997, 5.41,STAR K5III,1.34,,,,1.46
HR 340,44    And,17.5783,42.0814, 5.65,STAR F8V,0.6,,,,
HR 3400,,129.5925,53.4014, 5.66,STAR G8IV,0.96,,,,
HR 3401,,129.7925,59.9394, 6.48,STAR A2V,,,,,
HR 3402,,128.87,-26.8436, 5.96,STAR A1V,0.37,,,,
HR 3403,4Pi 2UMa,130.0533,64.3278, 4.60,STAR K1III,1.17,,0.63,,1.16
HR 3404,,128.8025,-39.97, 6.47,STAR G1V,0.58,,,,
HR 3405,,129.75,52.925, 6.42,STAR K0,,,,,
HR 3406,36    Cnc,129.2742,9.6556, 5.88,STAR A3V,0.09,,,,0.1
HR 3407,,128.6817,-49.9442, 5.01,STAR K1II,1.33,,0.68,,1.38
HR 3408,,129.8233,52.7117, 5.91,STAR,1.17,,,,1.05
HR 3409,,129.5792,32.8019, 5.94,STAR,1.12,,,,
HR 341,,17.5808,25.4578, 5.80,STAR K7III,1.47,,,,1.82
HR 3410,4Del Hya,129.4142,5.7036, 4.16,STAR A1V,0,,0.01,,0.01
HR 3411,,129.3629,-4.9336, 6.19,STAR K0,1.05,,,,0.89
HR 3412,37    Cnc,129.5217,9.5747, 6.53,STAR A1V,-0.02,,,,-0.04
HR 3413,,128.9671,-50.97, 5.80,STAR B8,-0.13,,,v,-0.54
HR 3414,,128.8317,-58.0092, 4.86,STAR K0III,1,,0.49,,0.81
HR 3415,,128.8142,-58.225, 5.26,STAR B3V,-0.14,,-0.16,,-0.61
HR 3416,,129.5846,-6.6625, 6.51,STAR A1V,0.44,,,,0.17
HR 3417,,128.1758,-73.3567, 6.12,STAR G8III,0.95,,,,0.66
HR 3418,5Sig Hya,129.6892,3.3414, 4.44,STAR K1III,1.21,,0.56,,1.28
HR 3419,,129.3737,-33.7458, 6.48,STAR F0IV,0.33,,,,
HR 342,,17.8567,64.2028, 5.55,STAR B9V,-0.07,,,,-0.13
HR 3420,Eta Pyx,129.4675,-26.255, 5.27,STAR A0V,-0.04,,,,
HR 3421,,129.3329,-40.1475, 6.55,STAR G4IV,0.6,,,,0.14
HR 3422,34    Lyn,130.2546,45.8339, 5.37,STAR G8IV,0.99,,,,0.75
HR 3423,,130.0762,31.9419, 6.10,STAR F5III,,,,,
HR 3424,,129.8525,8.0172, 6.45,STAR K1III,1.08,,,,0.99
HR 3425,,129.6679,-19.7369, 6.33,STAR K5III,1.59,,,,1.83
HR 3426,,129.4113,-42.9892, 4.14,STAR A6II,0.11,,0.16,,0.16
HR 3427,39    Cnc,130.0267,20.0078, 6.39,STAR G8III,0.98,,0.47,,0.83
HR 3428,,130.0921,19.67, 6.44,STAR G9III,1.02,,0.49,,0.9
HR 3429,41Eps Cnc,130.1125,19.545, 6.30,STAR A8V,0.17,,0.06,,0.16
HR 343,33The Cas,17.7758,55.1497, 4.33,STAR A7V,0.17,,0.07,,0.12
HR 3430,,129.7833,-22.6619, 5.05,STAR G6IV,0.73,,,,0.36
HR 3431,6    Hya,130.0063,-12.4753, 4.98,STAR K4III,1.42,,0.75,,1.62
HR 3432,,129.3283,-62.8536, 5.47,STAR K0III,1.02,,,,0.83
HR 3433,Zet Pyx,129.9271,-29.5611, 4.89,STAR G4III,0.9,,,,
HR 3434,,129.8421,-36.6069, 6.13,STAR F1IV,0.42,,,,
HR 3435,,129.6871,-53.0906, 6.47,STAR B8V,-0.1,,,,-0.35
HR 3436,,130.7508,46.9011, 6.22,STAR G8III,0.96,,,,
HR 3437,,130.2567,-9.0519, 6.63,STAR A1V,-0.02,,,,0.02
HR 3438,Bet Pyx,130.0258,-35.3083, 3.97,STAR G7I,0.94,,0.48,,0.65
HR 3439,,130.0804,-40.2642, 5.20,STAR B9V,-0.01,,,,-0.14
HR 344,,17.5479,15.6742, 6.06,STAR M0III,1.49,,,,
HR 3440,,129.8492,-53.4397, 5.48,STAR B5V,-0.16,,,,-0.55
HR 3441,9    Hya,130.4304,-15.9433, 4.88,STAR G9III,1.06,,0.53,,0.92
HR 3442,,129.99,-53.055, 5.19,STAR B4IV,-0.14,,,,-0.57
HR 3443,,129.805,-60.3172, 6.36,STAR A0V,0,,,,
HR 3444,,130.1471,-45.1914, 5.71,STAR M0III,1.65,,,,2
HR 3445,,130.1567,-46.6489, 3.84,STAR F3I,0.71,,0.6,,0.3
HR 3446,,130.5408,-11.9661, 6.45,STAR A5,0.16,,,,0.13
HR 3447,,130.0733,-52.9219, 3.62,STAR B3IV,-0.18,,-0.18,,-0.64
HR 3448,,130.0725,-53.0153, 5.61,STAR B7V,-0.14,,,,-0.5
HR 3449,43Gam Cnc,130.8212,21.4686, 4.66,STAR A1IV,0.02,,0,,0.01
HR 345,32    Cas,17.9225,65.0189, 5.57,STAR B9IV,-0.09,,,,-0.28
HR 3450,45    Cnc,130.8013,12.6808, 5.64,STAR A3V,0.39,,,,0.25
HR 3451,,131.0421,36.9181, 6.33,STAR F7V,,,,,
HR 3452,,130.3046,-47.3169, 4.77,STAR A5II,0.12,,0.19,,0.12
HR 3453,,130.2721,-48.9225, 5.90,STAR B1V,-0.21,,,,-0.9
HR 3454,7Eta Hya,130.8062,3.3986, 4.30,STAR B3V,-0.2,,-0.19,,-0.74
HR 3455,,130.1817,-57.5453, 6.34,STAR A3V,0.2,,,,0.14
HR 3456,,130.4871,-45.4108, 5.23,STAR B6I,0.21,,,,-0.53
HR 3457,,130.1542,-59.7611, 4.33,STAR B1III,-0.11,,-0.13,,-0.8
HR 3458,,130.9987,4.3347, 6.37,STAR B9III,-0.06,,,,-0.13
HR 3459,,130.9183,-7.2336, 4.62,STAR G1I,0.84,,0.44,,0.49
HR 346,32    Cet,17.55,-8.9061, 6.40,STAR K0III,1.04,,,,0.87
HR 3460,The Vol,129.7717,-70.3869, 5.20,STAR A0V,0.01,,,,-0.03
HR 3461,47Del Cnc,131.1712,18.1542, 3.94,STAR K0III,1.08,,0.54,,0.99
HR 3462,,130.5667,-48.0992, 5.51,STAR B1V,-0.18,,,,-0.88
HR 3463,,130.7375,-35.9433, 6.42,STAR A0V,0.02,,,,0.01
HR 3464,46    Cnc,131.3392,30.6978, 6.13,STAR G5III,0.94,,0.49,,0.63
HR 3465,49    Cnc,131.1875,10.0817, 5.66,STAR A1,-0.11,,,,-0.25
HR 3466,,130.5788,-53.1, 5.52,STAR B8,-0.15,,,,-0.54
HR 3467,,130.6062,-53.1139, 4.86,STAR B3IV,-0.17,,-0.19,,-0.66
HR 3468,Alp Pyx,130.8979,-33.1864, 3.68,STAR B1III,-0.18,,-0.16,,-0.88
HR 3469,10    Hya,131.2554,5.6806, 6.13,STAR A6V,0.2,,,,0.1
HR 347,33    Cet,17.64,2.4456, 5.95,STAR K4III,1.51,,,,1.87
HR 3470,,132.2058,66.7081, 6.20,STAR B8V,-0.11,,,,-0.4
HR 3471,,130.5871,-55.7742, 6.29,STAR K2III,1.18,,,,1.2
HR 3472,,131.3367,-2.6008, 6.41,STAR F2IV,0.52,,,,0.06
HR 3473,,131.23,-21.1678, 6.11,STAR A5V,0.22,,,,
HR 3474,48Iot Cnc,131.6667,28.7653, 6.57,STAR A3V,0.04,,,,0.04
HR 3475,48Iot Cnc,131.6742,28.76, 4.02,STAR G7III,1.01,,0.49,,0.78
HR 3476,,130.9179,-49.8228, 5.16,STAR B0III,-0.2,,,,-1.03
HR 3477,,131.1,-42.6492, 4.07,STAR G5III,0.87,,0.5,,0.52
HR 3478,,131.5104,-2.0489, 5.70,STAR,1.1,,,,1.04
HR 3479,,131.2162,-37.1472, 5.76,STAR B2III,-0.15,,,,
HR 348,45    And,17.7929,37.7242, 5.81,STAR B7III,-0.1,,,,-0.4
HR 3480,,131.5287,-11.0064, 6.25,STAR K5III,1.61,,,,1.9
HR 3481,50    Cnc,131.7333,12.11, 5.87,STAR A1V,0.11,,,,0.05
HR 3482,11Eps Hya,131.6942,6.4189, 3.38,STAR G5III,0.68,,0.39,,0.36
HR 3483,,131.4554,-25.3875, 6.10,STAR A2V,0.08,,,,
HR 3484,12    Hya,131.5938,-13.5478, 4.32,STAR G8III,0.9,,0.46,,0.62
HR 3485,Del Vel,131.1758,-54.7083, 1.96,STAR A1V,0.04,,0.02,,0.07
HR 3486,,131.8125,-1.8972, 5.29,STAR A3V,0.04,,,,0.08
HR 3487,,131.5071,-46.0417, 3.91,STAR A1III,0,,0.13,,-0.05
HR 3488,,131.5992,-41.1256, 6.21,STAR B9V,-0.05,,,t,-0.19
HR 3489,,131.2721,-58.725, 6.21,STAR B7III,-0.09,,,,-0.47
HR 349,82    Psc,17.7783,31.4247, 5.16,STAR F0V,0.23,,,,
HR 3490,,131.705,-34.6228, 6.37,STAR B4V,-0.13,,,,-0.58
HR 3491,,130.9763,-68.2117, 6.32,STAR K3III,1.5,,,,1.78
HR 3492,13Rho Hya,132.1083,5.8378, 4.36,STAR A0V,-0.04,,-0.07,,-0.04
HR 3493,,132.0204,-6.5586, 6.09,STAR K0,1.28,,,,1.42
HR 3494,,131.6275,-45.9128, 5.46,STAR B3I,0.27,,,,-0.53
HR 3495,,131.125,-65.8256, 6.05,STAR A4V,0.2,,,,0.08
HR 3496,,131.8288,-46.1556, 5.75,STAR F2I,0.56,,,,0.38
HR 3497,,131.9187,-41.7372, 6.36,STAR G0I,0.58,,,,0.1
HR 3498,,131.6771,-56.7697, 4.49,STAR B3V,-0.17,,-0.18,v,-0.73
HR 3499,,132.6342,33.2853, 6.25,STAR F7V,0.49,,,,0.01
HR 35,The Scl,2.9333,-35.1331, 5.25,STAR F4V,0.44,,,,
HR 350,,17.5308,-57.6944, 6.41,STAR G6II,0.89,,,,
HR 3500,14    Hya,132.3404,-3.4431, 5.31,STAR B9,-0.09,,,,-0.35
HR 3501,,132.0367,-42.4639, 6.43,STAR B2IV,-0.2,,,,-0.77
HR 3502,Eta Cha,130.3313,-78.9633, 5.47,STAR B8V,-0.1,,,,-0.35
HR 3503,,132.0008,-52.8506, 6.30,STAR B8V,-0.1,,,,-0.32
HR 3504,,132.6879,18.8322, 6.16,STAR A2V,-0.01,,,,0
HR 3505,5    UMa,133.3442,61.9622, 5.73,STAR F2III,0.28,,,,0.11
HR 3506,,133.2746,59.0561, 6.25,STAR F5IV,,,,,
HR 3507,,132.4371,-21.0486, 6.47,STAR A7V,0.23,,,,
HR 3508,35    Lyn,132.9867,43.7267, 5.15,STAR K0III,0.98,,0.5,,0.68
HR 3509,,133.0483,45.3125, 5.99,STAR K0III,1.26,,,,1.33
HR 351,84Chi Psc,17.8633,21.0347, 4.66,STAR G8III,1.03,,0.54,,0.82
HR 3510,54    Cnc,132.7563,15.3506, 6.38,STAR G1V,0.64,,,,
HR 3511,,133.0417,42.0025, 5.99,STAR K0III,1.25,,,,
HR 3512,,132.4646,-32.7806, 5.21,STAR G5III,0.87,,,,
HR 3513,,132.5092,-29.4631, 5.87,STAR G8III,0.95,,,,
HR 3514,,132.4133,-40.3206, 5.48,STAR A2IV,0.06,,,,0.13
HR 3515,M 67,132.82917,11.80556,,OPEN STAR CLUSTER,,,,,
HR 3516,,132.59,-28.6181, 6.17,STAR B9V,-0.08,,,,-0.19
HR 3517,,132.4683,-39.1417, 6.39,STAR A5III,0.23,,,,
HR 3518,Gam Pyx,132.6329,-27.71, 4.01,STAR K3III,1.27,,0.67,,1.4
HR 3519,51Sig1Cnc,133.1442,32.4742, 5.66,STAR A8V,0.22,,0.08,,0.07
HR 352,83Tau Psc,17.915,30.0897, 4.51,STAR K0III,1.09,,0.58,,1.01
HR 3520,,132.4487,-45.3081, 4.93,STAR A2III,0.05,,,,0.15
HR 3521,53    Cnc,133.1192,28.2592, 6.23,STAR M3III,1.62,,,,
HR 3522,55Rho1Cnc,133.1492,28.3308, 5.95,STAR G8V,0.87,,0.4,,0.63
HR 3523,15    Hya,132.8938,-7.1772, 5.54,STAR A4,0.15,,,,0.14
HR 3524,,130.8017,-79.0697, 6.05,STAR A5V,0.23,,,,0.08
HR 3525,,132.5875,-42.09, 6.00,STAR B1III,-0.1,,,,-0.95
HR 3526,,133.1008,5.34, 6.33,STAR A5V,0.12,,,,0.14
HR 3527,,132.6396,-46.5292, 5.10,STAR B0III,-0.21,,-0.16,,-0.99
HR 3528,,133.4821,35.5383, 6.14,STAR A4III,0.04,,,,0.11
HR 3529,,133.1279,-13.2336, 6.13,STAR K0,1.14,,,,1.14
HR 353,34    Cet,17.9312,-2.2511, 5.94,STAR K4III,1.4,,,,1.68
HR 3530,,132.8663,-42.5044, 6.55,STAR A1V,0.04,,,,0.08
HR 3531,6    UMa,134.1562,64.6039, 5.58,STAR G7III,0.86,,,,0.57
HR 3532,57    Cnc,133.5612,30.5794, 5.39,STAR G7III,1.05,,,,
HR 3533,,133.1087,-32.5092, 6.50,STAR K2III,1.46,,,,
HR 3534,,133.1608,-36.5456, 6.42,STAR G8III,0.56,,,,
HR 3535,,133.2,-38.7242, 5.82,STAR M0III,1.5,,,,1.89
HR 3536,,132.9025,-57.6336, 5.59,STAR B8III,-0.11,,,,-0.41
HR 3537,,132.645,-66.7931, 5.35,STAR F5IV,0.42,,,,0.07
HR 3538,,133.5746,-5.4344, 6.00,STAR G2V,0.67,E,0.21,,0.22
HR 3539,,133.1608,-48.3592, 5.91,STAR B3V,-0.15,,-0.16,,-0.59
HR 354,,18.2913,61.7058, 6.41,STAR B9V,0.01,,,,-0.27
HR 3540,58Rho2Cnc,133.9154,27.9275, 5.22,STAR G8II,1,,0.49,,0.75
HR 3541,,133.8454,17.2314, 6.64,STAR,3.36,,1.37,,
HR 3542,,133.17,-52.1292, 6.39,STAR A0V,0,,,,-0.13
HR 3543,,131.48,-79.5044, 5.79,STAR K5III,1.6,,,,1.97
HR 3544,,132.4596,-72.5508, 6.11,STAR A0,0.2,,,,0.17
HR 3545,,134.2083,45.6319, 5.74,STAR K1IV,1.09,,0.56,,1.06
HR 3546,,134.1271,40.2017, 5.89,STAR F3III,0.35,,,,0.06
HR 3547,16Zet Hya,133.8483,5.9456, 3.11,STAR G9II,1,,0.49,,0.8
HR 3548,,133.4612,-40.4475, 6.47,STAR K0II,0.96,,,,
HR 3549,,133.2658,-56.6494, 6.03,STAR A0V,-0.02,,,,-0.08
HR 355,,18.1417,45.3378, 6.11,STAR M1III,1.64,,,,2.03
HR 3550,60    Cnc,133.9817,11.6261, 5.41,STAR,1.46,,,,
HR 3551,,133.4612,-47.5208, 5.33,STAR A9IV,0.26,,,,
HR 3552,17    Hya,133.8729,-7.9703, 6.91,STAR A7,,,,,
HR 3553,17    Hya,133.8733,-7.9711, 6.67,STAR A2,0.22,,,,0.13
HR 3554,,133.8017,-18.2414, 5.75,STAR K2III,1.32,,,,
HR 3555,59Sig2Cnc,134.2358,32.9103, 5.45,STAR A7IV,0.12,,,,0.12
HR 3556,Del Pyx,133.8813,-27.6819, 4.89,STAR A3IV,0.11,,0.05,,0.14
HR 3557,,134.1537,4.2367, 6.14,STAR G8II,1,,,,0.75
HR 3558,,134.2842,17.1439, 6.17,STAR K1III,1,,,,
HR 3559,,133.9829,-23.8183, 6.39,STAR A7V,0.16,,,,0.12
HR 356,,18.2479,30.0642, 6.19,STAR G9III,1,,,,0.75
HR 3560,,133.4529,-60.3542, 5.78,STAR B5III,-0.08,,,,-0.55
HR 3561,62Omi1Cnc,134.3121,15.3228, 5.20,STAR A5III,0.15,,,,
HR 3562,,133.8304,-45.0417, 6.26,STAR B3IV,-0.16,,,,-0.63
HR 3563,61    Cnc,134.4946,30.2336, 6.29,STAR F6V,0.43,,,,-0.02
HR 3564,,134.1421,-16.7094, 5.96,STAR K0,1.54,,,,
HR 3565,63Omi2Cnc,134.3967,15.5814, 5.67,STAR F0IV,0.2,,,,
HR 3566,,134.6146,35.8025, 6.51,STAR A2V,-0.01,,,,0.01
HR 3567,,134.425,9.3878, 6.19,STAR G8III,0.98,,,,0.76
HR 3568,,133.725,-58.24, 6.38,STAR B5V,-0.11,,,,-0.49
HR 3569,9Iot UMa,134.8017,48.0417, 3.14,STAR A7IV,0.19,,0.07,,0.07
HR 357,,19.1279,79.91, 6.26,STAR F5V,0.42,,,,-0.07
HR 3570,,133.7996,-54.9656, 5.71,STAR F6V,0.48,,,,0
HR 3571,,133.7617,-60.6447, 3.84,STAR B8II,-0.1,,-0.11,,-0.45
HR 3572,65Alp Cnc,134.6217,11.8578, 4.25,STAR A5,0.14,,0.04,,0.15
HR 3573,,134.5342,1.5417, 6.59,STAR A2V,0.06,,,,0.09
HR 3574,,134.0808,-52.7236, 4.69,STAR B5V,-0.12,,-0.14,,-0.47
HR 3575,64Sig3Cnc,134.8858,32.4186, 5.20,STAR G8III,0.93,,,,
HR 3576,8Rho UMa,135.6362,67.6297, 4.76,STAR M3III,1.53,,1.26,,1.88
HR 3577,,134.795,18.1347, 6.38,STAR M4III,1.55,,,v,1.69
HR 3578,,134.6829,-16.1328, 5.86,STAR F6V,0.53,E,0.23,,0.08
HR 3579,,135.16,41.7828, 3.97,STAR F5V,0.44,,0.22,,0.05
HR 358,,18.0975,-30.8022, 6.52,STAR F7IV,0.48,,,,0.03
HR 3580,,135.1283,37.6044, 6.44,STAR K5,,,,,
HR 3581,,138.8383,84.1811, 6.33,STAR F2III,0.3,,,,0.1
HR 3582,,134.2433,-59.2294, 4.92,STAR B2IV,-0.19,,-0.24,,-0.77
HR 3583,,134.4825,-48.5733, 5.87,STAR G8II,1.07,,,,0.88
HR 3584,,134.9162,-19.2081, 6.18,STAR F6V,0.46,,,,
HR 3585,,134.8154,-28.8061, 6.25,STAR G8III,1,,,,
HR 3586,,135.4192,39.7133, 6.36,STAR A9V,0.3,,,,0.04
HR 3587,66    Cnc,135.3504,32.2525, 5.82,STAR A2V,0,,,,0.09
HR 3588,,134.7179,-47.2347, 5.18,STAR A0,0.25,,,,0.19
HR 3589,67    Cnc,135.4538,27.9028, 6.07,STAR A8V,,,,,
HR 359,,18.1892,-37.8564, 5.92,STAR F0III,0.28,,,,0.12
HR 3590,,135.3808,5.6408, 6.07,STAR K1II,1.11,,,,1.02
HR 3591,,135.0225,-41.2539, 4.45,STAR G8III,0.65,,0.41,,0.38
HR 3592,,136.0017,54.2839, 5.75,STAR A2V,0.02,,,,0.05
HR 3593,,135.0925,-43.1733, 6.07,STAR B2V,-0.16,,-0.12,t,-0.82
HR 3594,12Kap UMa,135.9062,47.1567, 3.60,STAR A1V,0,,0.01,,0.01
HR 3595,69Nu  Cnc,135.6846,24.4528, 5.45,STAR A0,-0.04,,-0.04,v,-0.1
HR 3596,,135.4917,-0.4828, 5.67,STAR K0III,1.15,,,,1.04
HR 3597,,135.2975,-26.6639, 6.20,STAR K1III,1.13,,,,
HR 3598,,134.8504,-59.0836, 5.16,STAR F3V,0.42,,,,
HR 3599,,135.6867,7.2981, 5.85,STAR,1.11,,,,0.98
HR 36,,2.9962,48.1525, 6.16,STAR,1.45,,,,
HR 360,85Phi Psc,18.4371,24.5836, 4.65,STAR K0III,1.04,,0.53,,0.85
HR 3600,,135.3367,-41.8644, 5.55,STAR B5V,-0.14,,,,-0.58
HR 3601,70    Cnc,136.0412,27.8983, 6.38,STAR A1V,0,,,,0.05
HR 3602,,135.5267,-39.4025, 6.27,STAR K1III,1,,,,
HR 3603,,136.3504,48.5303, 5.95,STAR F6II,0.45,,,,0.17
HR 3604,,135.1904,-60.9639, 5.79,STAR G8II,1.21,,,,
HR 3605,,135.4358,-52.1883, 5.23,STAR B9,-0.12,,,,-0.45
HR 3606,,136.23,32.3769, 6.46,STAR A8V,0.24,,,,0.1
HR 3607,,135.7867,-25.5044, 6.74,STAR B8,-0.03,,,,
HR 3608,,136.6796,59.3444, 6.45,STAR A2V,0.04,,,,0.13
HR 3609,11Sig1UMa,137.0983,66.8733, 5.14,STAR K5III,1.51,,0.83,,1.83
HR 361,86Zet Psc,18.4329,7.5753, 5.24,STAR A7IV,0.32,,,,0.09
HR 3610,,135.2854,-68.6839, 5.88,STAR M1III,1.63,,,,1.97
HR 3611,,135.7717,-53.5497, 6.40,STAR B6V,-0.09,,,,-0.35
HR 3612,,136.6325,38.4522, 4.56,STAR G7I,1.04,,0.49,,0.82
HR 3613,18Ome Hya,136.4933,5.0922, 4.97,STAR K2II,1.22,,0.57,,1.21
HR 3614,,136.0388,-47.0978, 3.75,STAR K2III,1.2,,0.6,,1.22
HR 3615,Alp Vol,135.6117,-66.3961, 4.00,STAR A2IV,0.14,,0.06,,0.13
HR 3616,13Sig2UMa,137.5967,67.1347, 4.80,STAR F6IV,0.49,,0.28,,0.02
HR 3617,,136.8621,22.9811, 6.40,STAR F4V,,,,,
HR 3618,,136.7496,1.4628, 6.17,STAR M1III,1.65,E,0.97,,1.96
HR 3619,15    UMa,137.2179,51.6047, 4.48,STAR F0IV,0.27,,0.11,,0.12
HR 362,86Zet Psc,18.4387,7.5783, 6.30,STAR F7V,0.49,,,,0.01
HR 3620,,137.0171,32.5406, 6.50,STAR F2V,0.36,,,,0
HR 3621,72Tau Cnc,137.0004,29.6542, 5.43,STAR G8III,0.89,,0.45,,0.57
HR 3622,,136.2,-57.8525, 6.44,STAR A8III,0.25,,,,0.19
HR 3623,76Kap Cnc,136.9367,10.6681, 5.24,STAR B8III,-0.11,,,,-0.43
HR 3624,14Tau UMa,137.7296,63.5136, 4.67,STAR F3III,0.35,,0.13,,0.15
HR 3625,,137.2129,33.8822, 5.93,STAR F9V,0.6,,,,0.04
HR 3626,75    Cnc,137.1971,26.6292, 5.98,STAR G5IV,0.66,,,,0.2
HR 3627,77Xi  Cnc,137.3396,22.0456, 5.14,STAR G9III,0.97,,0.48,,0.8
HR 3628,Kap Pyx,137.0121,-25.8583, 4.58,STAR K4III,1.59,,0.9,,1.89
HR 3629,,136.6417,-55.8033, 6.11,STAR B2IV,-0.15,,,,-0.67
HR 363,,18.5208,28.5297, 6.43,STAR,1.7,E,0.98,,1.87
HR 3630,19    Hya,137.1758,-8.5894, 5.60,STAR B9III,-0.06,,,,-0.19
HR 3631,,136.8112,-51.2119, 6.73,STAR K4III,1.62,,,,1.87
HR 3632,,136.5317,-64.4997, 6.37,STAR K3III,1.35,,,,1.58
HR 3633,,138.5133,71.6558, 6.55,STAR G8III,0.96,,,,0.75
