name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color
HR 1064,,51.4008,-69.3364, 5.96,STAR F3IV,0.42,,,,0.01
HR 1065,,52.8367,27.5719, 5.96,STAR A2V,,,,,
HR 1066,5    Tau,52.7183,12.9367, 4.11,STAR K0II,1.12,,0.54,,1.02
HR 1067,,52.6892,6.1886, 5.94,STAR G8III,0.96,,,,0.64
HR 1068,,53.3838,58.765, 6.40,STAR A4III,0.14,,,,0.15
HR 1069,36    Per,53.1096,46.0569, 5.31,STAR F4III,0.4,,0.22,,-0.02
HR 107,,7.0837,10.1897, 6.04,STAR F6V,0.43,,,,-0.06
HR 1070,17    Eri,52.6546,-5.0753, 4.73,STAR B9V,-0.09,,-0.08,,-0.27
HR 1071,,53.4217,57.8689, 6.37,STAR F7V,0.51,,,,0.03
HR 1072,,53.1629,44.8556, 6.41,STAR B2IV,0.03,,,,-0.72
HR 1073,,53.4125,54.9747, 5.98,STAR A3V,0.11,,,,
HR 1074,,53.1667,35.4617, 5.90,STAR B1V,-0.06,,,,-0.85
HR 1075,,52.4792,-42.6342, 5.78,STAR A5V,0.22,,,,
HR 1076,,52.5567,-41.37, 6.12,STAR F7V,0.48,,,,
HR 1077,,53.7533,60.0411, 6.46,STAR F3V,0.39,,,,-0.07
HR 1078,,53.3963,39.8994, 5.81,STAR A5,0.11,,,,0.12
HR 1079,6    Tau,53.15,9.3736, 5.77,STAR B9IV,-0.08,,,,-0.3
HR 108,,7.0879,-20.335, 6.43,STAR G0V,0.59,,,,-0.03
HR 1080,,54.8533,75.7397, 6.27,STAR G9III,0.97,,,,0.65
HR 1081,,52.6542,-47.3753, 5.99,STAR A1V,0.11,,,,
HR 1082,,52.9746,-25.6142, 6.38,STAR A3V,0.12,,,,
HR 1083,Kap Ret,52.3446,-62.9375, 4.72,STAR F5IV,0.4,,0.18,,-0.04
HR 1084,18Eps Eri,53.2325,-9.4583, 3.73,STAR K2V,0.88,,0.47,,0.59
HR 1085,,53.5346,17.8328, 6.17,STAR K1IV,0.89,,,,0.54
HR 1086,7    Tau,53.6108,24.4644, 5.92,STAR A3V,0.13,,,,0.17
HR 1087,37Psi Per,54.1225,48.1928, 4.23,STAR B5V,-0.06,,-0.01,v,-0.57
HR 1088,19Tau5Eri,53.4471,-21.6328, 4.27,STAR B8V,-0.11,,-0.12,,-0.35
HR 1089,,53.705,6.4178, 6.49,STAR G0,0.63,,,,0.16
HR 109,,7.11,-39.915, 5.43,STAR M0III,1.56,,,,1.9
HR 1090,,53.145,-50.3786, 5.68,STAR K2III,1.1,,,,1.16
HR 1091,,53.6558,-9.8686, 6.25,STAR A2V,0.02,,,,
HR 1092,,52.715,-66.4897, 5.83,STAR B8V,-0.06,,,,-0.33
HR 1093,,53.4867,-31.0803, 6.20,STAR F5V,0.48,,,,
HR 1094,,54.5821,56.9328, 6.30,STAR B9,-0.13,,,v,-0.35
HR 1095,,53.6396,-31.8747, 6.40,STAR K3III,1.4,,,,
HR 1096,,53.215,-61.0169, 6.41,STAR K0III,1.04,,,,0.91
HR 1097,,54.5008,42.5831, 6.42,STAR B8V,-0.06,,,,-0.37
HR 1098,,53.9904,-11.1936, 5.57,STAR,0.91,,,,
HR 1099,,54.1971,0.5878, 5.71,STAR G9V,0.92,E,0.39,,0.46
HR 11,,1.9338,-2.5489, 6.43,STAR B8III,-0.14,,,,-0.47
HR 110,,7.2358,36.9, 6.26,STAR G5III,0.92,,,,
HR 1100,20    Eri,54.0725,-17.4669, 5.23,STAR B9,-0.13,,,,-0.49
HR 1101,10    Tau,54.2183,0.4017, 4.28,STAR F9IV,0.58,,0.32,,0.07
HR 1102,,54.4492,15.4308, 6.39,STAR A5IV,0.17,,,,-0.06
HR 1103,,54.7504,20.9158, 6.50,STAR A0,0.15,,0.07,,0.19
HR 1104,,53.6029,-65.7644, 6.75,STAR A3V,0.17,,,,0.15
HR 1105,,55.5387,63.2167, 5.10,STAR,1.63,,1.39,,1.82
HR 1106,,54.2738,-40.2747, 4.58,STAR K1III,1.04,,0.57,,0.77
HR 1107,,62.5062,86.6261, 5.86,STAR F5IV,0.37,,,,0
HR 1108,,54.6217,-7.3917, 5.85,STAR,0.98,,,,0.76
HR 1109,,52.495,-78.3519, 5.70,STAR G8III,0.93,,,,0.65
HR 111,,7.1796,-50.5328, 6.26,STAR K0III,1.09,,,,
HR 1110,,54.8571,16.5367, 6.16,STAR K0III,1,,,,0.69
HR 1111,21    Eri,54.7546,-5.6261, 5.96,STAR K1V,0.92,,,,0.66
HR 1112,,55.6779,59.9694, 5.76,STAR K3II,1.71,,1.02,,1.82
HR 1113,,55.2829,37.58, 5.57,STAR B7V,-0.07,,,,-0.41
HR 1114,Tau For,54.6987,-27.9431, 6.01,STAR A0V,-0.02,,,,
HR 1115,12    Tau,54.9629,3.0569, 5.57,STAR,0.94,,,,0.67
HR 1116,,54.9096,-3.3931, 6.23,STAR G5,1.04,,,,0.89
HR 1117,,54.8558,-10.4372, 6.19,STAR G5,1.03,,,,
HR 1118,11    Tau,55.1929,25.3294, 6.11,STAR A2IV,0.06,,,,0.16
HR 1119,,54.9979,-1.1206, 6.12,STAR K1III,1,,,,0.77
HR 112,,7.7292,77.0194, 6.21,STAR K0IV,0.84,,,,0.54
HR 1120,,55.0475,-15.2267, 6.33,STAR G5,0.88,,,,
HR 1121,22    Eri,55.1596,-5.2106, 5.53,STAR B9III,-0.15,,,,-0.57
HR 1122,39Del Per,55.7313,47.7875, 3.01,STAR B5III,-0.13,,-0.11,t,-0.51
HR 1123,40    Per,55.5938,33.965, 4.97,STAR B0V,-0.01,,,,-0.84
HR 1124,,56.5037,67.2017, 5.80,STAR F0IV,0.35,,,,0.07
HR 1125,,55.3075,-11.8031, 6.49,STAR F5II,0.36,,,,0.02
HR 1126,13    Tau,55.5788,19.7003, 5.69,STAR B9V,-0.01,,,,-0.27
HR 1127,,56.0267,48.5236, 6.06,STAR K4III,1.55,,,,1.83
HR 1128,,55.3433,-19.5847, 6.59,STAR A3V,0.09,,,,
HR 1129,,56.5096,63.345, 4.80,STAR G0III,0.8,,0.53,,0.25
HR 113,,7.5829,59.9772, 5.94,STAR B9III,0.01,,,,-0.36
HR 1130,,56.1704,46.0997, 6.11,STAR A7IV,0.28,,,,0.21
HR 1131,38Omi Per,56.0796,32.2883, 3.83,STAR B1III,0.05,,0,,-0.75
HR 1132,14    Tau,55.9467,19.665, 6.14,STAR G8III,1.01,,,,0.74
HR 1133,,56.1308,36.46, 5.59,STAR A2,0.06,,0.01,,0.15
HR 1134,Del For,55.5621,-31.9383, 5.00,STAR B5IV,-0.16,,-0.15,,-0.6
HR 1135,41Nu  Per,56.2983,42.5786, 3.77,STAR F5II,0.42,,0.26,,0.31
HR 1136,23Del Eri,55.8121,-9.7633, 3.54,STAR K0IV,0.92,,0.5,e,0.69
HR 1137,,56.1171,20.9286, 6.10,STAR A0V,0.01,,,,0.06
HR 1138,,57.3075,70.8711, 5.44,STAR A2,0.09,,0.03,,0.12
HR 1139,,55.8908,-10.4856, 5.60,STAR A5,0.22,,0.12,,0.1
HR 114,28    And,7.5304,29.7517, 5.23,STAR A7III,0.24,,,,0.09
HR 1140,16    Tau,56.2008,24.2894, 5.46,STAR B7IV,-0.04,,-0.05,,-0.33
HR 1141,,56.4971,45.6819, 5.66,STAR B6V,-0.07,,,,-0.45
HR 1142,17    Tau,56.2188,24.1133, 3.70,STAR B6III,-0.11,,-0.1,e,-0.4
HR 1143,,55.7088,-37.3136, 4.59,STAR K2III,1.2,E,0.42,,1.31
HR 1144,18    Tau,56.2904,24.8392, 5.64,STAR B8V,-0.07,,-0.07,,-0.36
HR 1145,19    Tau,56.3021,24.4672, 4.30,STAR B6IV,-0.11,,-0.09,,-0.46
HR 1146,24    Eri,56.1271,-1.1631, 5.25,STAR B7V,-0.1,,,,-0.39
HR 1147,,56.8842,55.9225, 6.10,STAR B9V,-0.03,,,,-0.15
HR 1148,Gam Cam,57.5896,71.3322, 4.63,STAR A2IV,0.03,,0.04,,0.07
HR 1149,20    Tau,56.4567,24.3678, 3.87,STAR B8III,-0.07,,-0.06,v,-0.4
HR 115,,7.4662,-14.8642, 6.14,STAR F2III,0.37,,,,
HR 1150,25    Eri,56.2354,-0.2967, 5.55,STAR K4III,1.42,,,,1.72
HR 1151,21    Tau,56.4767,24.5547, 5.76,STAR B8V,-0.04,,-0.04,,-0.23
HR 1152,22    Tau,56.5121,24.5281, 6.43,STAR A0V,-0.02,,-0.02,,-0.15
HR 1153,29    Tau,56.4183,6.05, 5.35,STAR B3V,-0.12,,,,-0.61
HR 1154,,54.125,-78.3231, 6.29,STAR K2III,1.15,,,,1.03
HR 1155,,57.38,65.5261, 4.47,STAR M2II,1.88,,1.42,e,2.13
HR 1156,23    Tau,56.5817,23.9483, 4.18,STAR B6IV,-0.06,,-0.04,v,-0.42
HR 1157,,56.0258,-40.6603, 6.45,STAR K1III,1.06,E,0.38,,1.01
HR 1158,,57.4029,63.2972, 5.85,STAR A5V,0.18,,,,
HR 1159,,56.5396,6.8031, 5.91,STAR G9III,0.99,,,,0.76
HR 116,,7.4538,-32.1167, 6.57,STAR K4III,1.34,,,,
HR 1160,,57.0762,50.7367, 6.14,STAR B8V,0.06,,,,-0.32
HR 1161,,57.3317,57.1181, 6.46,STAR A0V,0.06,,,,0.02
HR 1162,26Pi  Eri,56.5354,-12.1017, 4.42,STAR M2III,1.63,,1.05,,2.01
HR 1163,,56.9692,33.6, 6.57,STAR B2V,0.08,,,,-0.61
